frequency,type,instruction
1,literal,0
1,instruction,print_newline
1,instruction,integer_sub
1,instruction,integer_eq
1,instruction,integer_mult
1,instruction,in1
1,instruction,string_first
1,instruction,exec_do*while
1,instruction,exec_string_iterate
1,instruction,exec_dup
1,instruction,char_isdigit
1,instruction,string_reverse
1,instruction,print_char
1,instruction,integer_gte
1,literal,-1
1,instruction,integer_div
1,instruction,integer_lte
1,instruction,exec_do*count
1,literal,

1,instruction,integer_rot
1,instruction,integer_add
1,literal,-
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,string_nth
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_string
1,instruction,print_integer
1,instruction,char_dup
1,instruction,integer_gt
1,instruction,exec_do*times
1,instruction,integer_lt
1,instruction,exec_noop
1,instruction,integer_swap
1,instruction,integer_dup
1,instruction,string_rest
1,literal,10
1,instruction,string_frominteger
1,instruction,exec_when
1,instruction,string_dup
