frequency,type,instruction
1,literal,!
1,instruction,in1
1,instruction,exec_do*while
1,instruction,exec_string_iterate
1,instruction,exec_dup
1,instruction,print_char
1,instruction,exec_do*count
1,instruction,char_dup_times
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,char_allfromstring
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,char_isletter
1,literal,3
1,instruction,char_dup
1,instruction,char_eq
1,literal,2
1,instruction,exec_do*times
1,instruction,exec_noop
1,instruction,integer_dup
1,instruction,exec_when
1,instruction,string_dup
