frequency,type,instruction
1,instruction,print_newline
1,instruction,integer_inc
1,instruction,boolean_stackdepth
1,instruction,integer_mult
1,instruction,in1
1,instruction,boolean_or
1,instruction,boolean_empty
1,instruction,exec_string_iterate
1,instruction,boolean_dup_items
1,instruction,exec_empty
1,instruction,exec_dup
1,literal,4
1,instruction,integer_gte
1,instruction,integer_lte
1,instruction,exec_do*count
1,instruction,integer_dup_times
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,exec_swap
1,instruction,integer_dup_items
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_integer
1,instruction,integer_gt
1,literal,2
1,instruction,boolean_not
1,instruction,exec_do*times
1,instruction,exec_pop
1,instruction,exec_s
1,instruction,integer_lt
1,instruction,exec_noop
1,instruction,integer_dup
1,instruction,integer_empty
1,instruction,integer_dec
1,instruction,exec_stackdepth
1,instruction,boolean_and
1,instruction,exec_when
