frequency,type,instruction
1,instruction,print_newline
1,instruction,integer_inc
1,instruction,in1
1,instruction,exec_do*while
1,instruction,exec_dup
1,instruction,exec_do*count
1,instruction,integer_add
1,instruction,integer_dup_times
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_integer
1,instruction,integer_gt
1,instruction,exec_do*times
1,instruction,in2
1,instruction,integer_lt
1,instruction,exec_noop
1,instruction,integer_dup
1,instruction,in3
1,instruction,exec_when
