frequency,type,instruction
1,instruction,integer_sub
1,instruction,integer_eq
1,instruction,integer_mult
1,instruction,in1
1,instruction,boolean_or
1,instruction,in5
1,instruction,integer_gte
1,instruction,integer_div
1,instruction,integer_lte
1,instruction,string_concat
1,instruction,integer_add
1,instruction,string_dup_times
1,instruction,string_swap
1,literal,C
1,literal,F
1,literal,B
1,instruction,exec_if
1,instruction,print_string
1,instruction,integer_gt
1,instruction,boolean_not
1,literal, grade.
1,instruction,in2
1,instruction,integer_lt
1,instruction,string_yank
1,literal,A
1,instruction,exec_noop
1,instruction,integer_dup
1,instruction,in3
1,instruction,string_rot
1,instruction,boolean_and
1,instruction,exec_flush
1,instruction,exec_when
1,literal,D
1,instruction,in4
1,literal,Student has a 
1,instruction,string_dup
