frequency,type,instruction
1,literal,0
1,instruction,in1
1,instruction,vector_integer_dup
1,instruction,exec_do*vector_integer
1,instruction,exec_do*while
1,instruction,vector_integer_emptyvector
1,instruction,vector_integer_swap
1,instruction,exec_dup
1,instruction,vector_integer_replace
1,instruction,vector_integer_rot
1,instruction,exec_do*count
1,literal,[]
1,instruction,integer_max
1,instruction,vector_integer_conj
1,instruction,vector_integer_replacefirst
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,integer_min
1,instruction,vector_integer_rest
1,instruction,vector_integer_nth
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,integer_gt
1,instruction,vector_integer_length
1,instruction,exec_do*times
1,instruction,integer_lt
1,instruction,exec_noop
1,instruction,vector_integer_pushall
1,instruction,integer_swap
1,instruction,integer_dup
1,instruction,vector_integer_first
1,instruction,exec_when
