frequency,type,instruction
1,literal,0
1,literal, 
1,instruction,print_newline
1,instruction,boolean_stackdepth
1,instruction,string_fromchar
1,instruction,in1
1,instruction,boolean_or
1,instruction,boolean_empty
1,instruction,char_iswhitespace
1,instruction,exec_string_iterate
1,instruction,exec_dup
1,instruction,print_char
1,instruction,integer_lte
1,instruction,exec_do*count
1,literal,

1,instruction,boolean_dup
1,instruction,exec_dup_times
1,literal,true
1,instruction,string_emptystring
1,instruction,exec_while
1,instruction,integer_min
1,instruction,char_allfromstring
1,instruction,string_nth
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_string
1,instruction,print_integer
1,instruction,char_dup
1,instruction,char_eq
1,literal,false
1,instruction,boolean_not
1,instruction,exec_do*times
1,instruction,char_empty
1,instruction,in2
1,instruction,string_containschar
1,instruction,exec_noop
1,instruction,integer_dup
1,instruction,string_parse_to_chars
1,instruction,boolean_and
1,instruction,string_length
1,instruction,exec_when
1,instruction,string_dup
