frequency,type,instruction
1,instruction,print_newline
1,instruction,in1
1,instruction,vector_string_dup_times
1,instruction,exec_do*while
1,instruction,exec_dup
1,instruction,vector_string_dup
1,instruction,vector_string_rest
1,instruction,vector_string_butlast
1,instruction,exec_do*count
1,instruction,exec_dup_times
1,instruction,vector_string_swap
1,instruction,exec_while
1,instruction,vector_string_last
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,vector_string_first
1,instruction,print_integer
1,instruction,exec_do*times
1,instruction,exec_do*vector_string
1,instruction,string_empty
1,instruction,vector_string_emptyvector
1,instruction,vector_string_nth
1,instruction,vector_string_pushall
1,instruction,exec_noop
1,instruction,vector_string_dup_items
1,instruction,integer_empty
1,instruction,vector_string_reverse
1,instruction,string_length
1,instruction,exec_when
