frequency,type,instruction
1,literal,0
1,instruction,integer_inc
1,literal,a
1,instruction,in1
1,instruction,string_first
1,instruction,exec_do*while
1,instruction,exec_string_iterate
1,literal,e
1,instruction,exec_dup
1,literal,i
1,instruction,exec_do*count
1,instruction,integer_add
1,instruction,exec_dup_times
1,literal,o
1,literal,true
1,instruction,exec_while
1,instruction,string_replacechar
1,instruction,char_allfromstring
1,instruction,string_nth
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_string
1,instruction,print_integer
1,instruction,string_occurrencesofchar
1,instruction,string_replace
1,instruction,char_dup
1,instruction,char_eq
1,literal,u
1,literal,false
1,instruction,exec_do*times
1,literal,The number of syllables is 
1,literal,y
1,instruction,exec_noop
1,instruction,string_rest
1,instruction,string_parse_to_chars
1,literal,aeiouy
1,instruction,exec_when
1,instruction,string_dup
