frequency,type,instruction
1,instruction,in1
1,instruction,exec_do*while
1,instruction,exec_dup
1,instruction,vector_float_rest
1,instruction,float_frominteger
1,instruction,integer_fromfloat
1,instruction,exec_do*count
1,instruction,float_dup_items
1,instruction,float_stackdepth
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,float_sub
1,instruction,float_mult
1,instruction,exec_do*times
1,instruction,exec_do*vector_float
1,instruction,vector_float_first
1,instruction,float_add
1,instruction,float_dup
1,instruction,exec_noop
1,instruction,vector_float_dup
1,instruction,vector_float_length
1,instruction,exec_when
1,instruction,float_div
