frequency,type,instruction
1,literal, 
1,instruction,print_newline
1,instruction,integer_inc
1,instruction,integer_eq
1,instruction,in1
1,instruction,exec_do*while
1,instruction,exec_dup
1,instruction,char_rot
1,instruction,print_char
1,instruction,integer_gte
1,instruction,integer_lte
1,instruction,integer_mod
1,instruction,exec_do*count
1,literal,

1,instruction,integer_add
1,instruction,char_swap
1,instruction,char_dup_times
1,instruction,char_stackdepth
1,instruction,integer_dup_times
1,instruction,exec_dup_times
1,instruction,exec_while
1,instruction,string_stackdepth
1,instruction,char_yank
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,print_string
1,instruction,char_dup
1,instruction,exec_do*times
1,instruction,in2
1,instruction,exec_noop
1,instruction,string_split
1,instruction,integer_dup
1,instruction,integer_dec
1,instruction,exec_when
1,instruction,string_dup
