frequency,type,instruction
code_atom,instruction,1
code_car,instruction,1
print_newline,instruction,1
integer_sub,instruction,1
integer_inc,instruction,1
boolean_stackdepth,instruction,1
vector_integer_eq,instruction,1
boolean_pop,instruction,1
string_fromchar,instruction,1
vector_string_shove,instruction,1
vector_float_yankdup,instruction,1
exec_yankdup,instruction,1
vector_integer_shove,instruction,1
integer_yankdup,instruction,1
string_flush,instruction,1
boolean_swap,instruction,1
exec_shove,instruction,1
vector_boolean_yank,instruction,1
code_eq,instruction,1
exec_y,instruction,1
boolean_yank,instruction,1
integer_eq,instruction,1
string_butlast,instruction,1
code_contains,instruction,1
string_conjchar,instruction,1
code_do*count,instruction,1
vector_float_last,instruction,1
string_substring,instruction,1
integer_mult,instruction,1
in1,instruction,1
vector_string_dup_times,instruction,1
code_length,instruction,1
vector_integer_dup,instruction,1
boolean_or,instruction,1
code_position,instruction,1
boolean_empty,instruction,1
print_vector_string,instruction,1
vector_boolean_swap,instruction,1
char_dup_items,instruction,1
vector_float_pushall,instruction,1
char_iswhitespace,instruction,1
code_cdr,instruction,1
exec_do*vector_integer,instruction,1
vector_string_replacefirst,instruction,1
string_first,instruction,1
vector_boolean_first,instruction,1
exec_do*while,instruction,1
exec_string_iterate,instruction,1
in5,instruction,1
string_indexofchar,instruction,1
vector_float_replace,instruction,1
integer_fromstring,instruction,1
code_list,instruction,1
code_swap,instruction,1
char_frominteger,instruction,1
vector_integer_emptyvector,instruction,1
vector_string_eq,instruction,1
exec_dup_items,instruction,1
vector_float_butlast,instruction,1
boolean_dup_items,instruction,1
exec_empty,instruction,1
string_shove,instruction,1
vector_boolean_pushall,instruction,1
exec_rot,instruction,1
vector_string_concat,instruction,1
vector_float_indexof,instruction,1
code_pop,instruction,1
vector_string_subvec,instruction,1
vector_integer_swap,instruction,1
code_subst,instruction,1
char_pop,instruction,1
exec_dup,instruction,1
vector_integer_butlast,instruction,1
vector_float_rest,instruction,1
vector_string_flush,instruction,1
boolean_fromfloat,instruction,1
float_sin,instruction,1
boolean_flush,instruction,1
char_isdigit,instruction,1
float_lte,instruction,1
vector_integer_empty,instruction,1
print_code,instruction,1
vector_string_stackdepth,instruction,1
string_reverse,instruction,1
exec_k,instruction,1
vector_integer_yank,instruction,1
float_frominteger,instruction,1
char_rot,instruction,1
vector_integer_dup_times,instruction,1
print_char,instruction,1
vector_integer_stackdepth,instruction,1
vector_boolean_concat,instruction,1
boolean_xor,instruction,1
integer_gte,instruction,1
vector_float_shove,instruction,1
vector_integer_take,instruction,1
boolean_dup_times,instruction,1
code_quote,instruction,1
string_replacefirst,instruction,1
vector_integer_yankdup,instruction,1
boolean_shove,instruction,1
float_lt,instruction,1
vector_string_dup,instruction,1
vector_string_occurrencesof,instruction,1
vector_integer_replace,instruction,1
vector_float_reverse,instruction,1
float_mod,instruction,1
vector_float_subvec,instruction,1
string_last,instruction,1
print_boolean,instruction,1
boolean_rot,instruction,1
vector_string_rest,instruction,1
integer_div,instruction,1
vector_float_remove,instruction,1
integer_fromfloat,instruction,1
integer_lte,instruction,1
vector_integer_rot,instruction,1
integer_mod,instruction,1
