frequency,type,instruction
33,instruction,integer_add
29,instruction,integer_fromchar
26,literal,64
21,instruction,char_frominteger
20,literal,Check sum is 
19,instruction,integer_mod
18,instruction,in1
18,instruction,print_string
17,instruction,exec_string_iterate
16,instruction,print_char
12,literal, 
6,instruction,string_conjchar
5,instruction,exec_do*times
4,instruction,char_yankdup
4,instruction,exec_stackdepth
4,instruction,exec_flush
3,instruction,boolean_stackdepth
3,instruction,exec_dup
3,instruction,string_last
3,instruction,char_stackdepth
3,instruction,exec_dup_times
3,instruction,exec_s
3,instruction,string_containschar
3,instruction,integer_pop
3,instruction,integer_empty
2,instruction,integer_sub
2,instruction,integer_inc
2,instruction,string_substring
2,instruction,string_indexofchar
2,instruction,string_replacefirst
2,instruction,integer_div
2,instruction,integer_stackdepth
2,instruction,char_allfromstring
2,instruction,string_pop
2,instruction,char_shove
2,instruction,integer_fromboolean
2,instruction,string_occurrencesofchar
2,instruction,integer_flush
2,instruction,char_eq
2,instruction,exec_pop
2,instruction,integer_lt
2,instruction,integer_swap
2,instruction,string_fromboolean
2,instruction,boolean_and
2,instruction,string_frominteger
2,instruction,exec_when
2,instruction,string_dup
1,literal,@
1,literal,`
1,instruction,boolean_pop
1,instruction,string_fromchar
1,instruction,string_flush
1,instruction,boolean_swap
1,instruction,exec_shove
1,instruction,exec_y
1,instruction,string_butlast
1,instruction,integer_mult
1,instruction,boolean_empty
1,instruction,exec_do*while
1,instruction,exec_dup_items
1,instruction,exec_empty
1,literal,-76
1,instruction,char_isdigit
1,instruction,string_reverse
1,instruction,char_rot
1,instruction,boolean_dup_times
1,instruction,boolean_shove
1,instruction,string_concat
1,instruction,exec_do*count
1,instruction,integer_rot
1,literal,*
1,instruction,exec_k_when_autoconstructing
1,instruction,integer_shove
1,instruction,string_dup_times
1,instruction,char_swap
1,instruction,integer_dup_times
1,instruction,exec_eq
1,instruction,string_emptystring
1,instruction,string_swap
1,instruction,tagged_771
1,instruction,tagged_230
1,instruction,integer_min
1,instruction,exec_swap
1,instruction,string_stackdepth
1,instruction,integer_dup_items
1,instruction,string_nth
1,instruction,exec_do*range
1,instruction,boolean_invert_first_then_and
1,instruction,boolean_frominteger
1,instruction,char_isletter
1,instruction,print_integer
1,literal,-96
1,instruction,string_replacefirstchar
1,instruction,char_dup
1,instruction,tag_integer_647
1,instruction,boolean_not
1,instruction,string_empty
1,instruction,char_empty
1,instruction,string_removechar
1,instruction,char_flush
1,instruction,tag_char_682
1,instruction,string_yank
1,instruction,exec_noop
1,instruction,string_split
1,instruction,integer_dup
1,instruction,string_rot
1,instruction,integer_dec
1,instruction,tag_char_603
1,instruction,tagged_422
1,instruction,boolean_yankdup
