frequency,type,instruction
126,instruction,string_length
68,instruction,in2
59,instruction,in3
55,instruction,in1
22,instruction,exec_dup
20,instruction,string_stackdepth
20,instruction,integer_lt
18,instruction,integer_gt
16,instruction,integer_lte
15,instruction,string_parse_to_chars
11,instruction,string_take
10,instruction,exec_y
10,instruction,integer_mod
10,instruction,integer_swap
10,instruction,integer_empty
9,instruction,integer_gte
9,instruction,string_rest
9,instruction,exec_stackdepth
8,instruction,string_butlast
8,instruction,exec_empty
8,instruction,exec_s
7,instruction,boolean_empty
7,instruction,exec_while
7,instruction,boolean_invert_first_then_and
7,instruction,integer_dec
7,instruction,boolean_invert_second_then_and
6,instruction,integer_inc
6,instruction,boolean_stackdepth
6,instruction,exec_do*while
6,instruction,exec_do*count
6,instruction,string_eq
6,instruction,integer_dup_times
6,instruction,integer_fromboolean
6,instruction,exec_do*times
6,instruction,exec_yank
5,instruction,exec_yankdup
5,instruction,integer_max
5,instruction,exec_do*range
5,literal,false
5,instruction,string_empty
5,instruction,integer_dup
5,instruction,boolean_and
5,instruction,boolean_yankdup
4,instruction,string_substring
4,instruction,boolean_dup_times
4,instruction,exec_dup_times
4,instruction,integer_yank
4,instruction,integer_min
4,instruction,boolean_frominteger
4,instruction,integer_flush
4,instruction,boolean_not
4,instruction,string_yankdup
4,instruction,string_yank
4,instruction,integer_pop
4,instruction,string_contains
4,instruction,string_dup_items
4,instruction,string_frominteger
4,instruction,string_dup
3,instruction,integer_sub
3,instruction,exec_dup_items
3,instruction,boolean_dup_items
3,instruction,exec_rot
3,instruction,boolean_rot
3,instruction,boolean_dup
3,instruction,string_emptystring
3,instruction,exec_swap
3,instruction,string_pop
3,instruction,exec_y_when_autoconstructing
3,instruction,exec_when
2,instruction,string_flush
2,instruction,exec_shove
2,instruction,integer_mult
2,instruction,boolean_or
2,instruction,integer_div
2,instruction,string_concat
2,instruction,integer_shove
2,instruction,string_dup_times
2,instruction,integer_stackdepth
2,literal,true
2,instruction,string_swap
2,instruction,exec_if
2,instruction,boolean_eq
2,instruction,exec_noop
2,instruction,string_split
2,instruction,string_rot
1,instruction,boolean_pop
1,instruction,integer_yankdup
1,instruction,integer_fromstring
1,instruction,string_shove
1,instruction,string_replacefirst
1,instruction,boolean_shove
1,instruction,tag_string_195
1,instruction,integer_rot
1,instruction,integer_add
1,instruction,exec_eq
1,instruction,tagged_197
