frequency,type,instruction
64,instruction,in1
50,instruction,print_char
29,instruction,exec_string_iterate
28,instruction,string_frominteger
22,instruction,print_newline
16,instruction,char_stackdepth
15,instruction,exec_dup_times
15,instruction,print_string
14,instruction,string_butlast
12,instruction,string_reverse
12,instruction,string_dup
9,instruction,char_rot
9,instruction,char_swap
9,instruction,exec_if
9,instruction,string_rest
8,literal,

8,instruction,integer_stackdepth
7,instruction,string_fromchar
7,instruction,boolean_empty
7,instruction,exec_dup
7,instruction,string_parse_to_chars
7,instruction,exec_when
6,instruction,exec_shove
6,instruction,exec_do*while
6,instruction,exec_empty
6,instruction,exec_do*count
5,instruction,exec_y
5,instruction,boolean_dup_times
5,instruction,string_last
5,instruction,char_allfromstring
5,instruction,char_empty
5,instruction,exec_s
4,instruction,integer_inc
4,instruction,boolean_stackdepth
4,instruction,exec_yankdup
4,instruction,char_dup_items
4,instruction,string_first
4,instruction,exec_while
4,instruction,string_stackdepth
4,instruction,integer_empty
3,instruction,boolean_swap
3,instruction,integer_fromstring
3,instruction,char_isdigit
3,instruction,integer_yank
3,instruction,integer_dup_items
3,instruction,char_shove
3,instruction,integer_lt
3,instruction,exec_yank
3,instruction,string_dup_items
3,instruction,exec_stackdepth
2,instruction,integer_yankdup
2,instruction,boolean_yank
2,instruction,exec_rot
2,instruction,integer_gte
2,instruction,boolean_shove
2,instruction,integer_lte
2,instruction,integer_mod
2,instruction,string_concat
2,instruction,string_take
2,instruction,integer_dup_times
2,instruction,integer_fromchar
2,instruction,char_yank
2,instruction,string_occurrencesofchar
2,instruction,string_replacefirstchar
2,instruction,exec_do*times
2,instruction,string_empty
2,instruction,string_yank
2,instruction,integer_dec
1,instruction,string_flush
1,instruction,integer_eq
1,instruction,string_conjchar
1,instruction,string_substring
1,instruction,integer_mult
1,instruction,string_indexofchar
1,instruction,tagged_583
1,instruction,exec_dup_items
1,instruction,string_shove
1,instruction,char_pop
1,instruction,boolean_flush
1,instruction,print_boolean
1,instruction,integer_div
1,instruction,integer_rot
1,instruction,tag_char_205
1,instruction,integer_add
1,instruction,char_dup_times
1,instruction,string_eq
1,instruction,boolean_dup
1,instruction,exec_eq
1,instruction,string_swap
1,instruction,integer_min
1,instruction,exec_swap
1,instruction,string_pop
1,instruction,exec_do*range
1,instruction,integer_fromboolean
1,instruction,string_setchar
1,instruction,char_isletter
1,instruction,print_integer
1,instruction,boolean_eq
1,literal,3
1,instruction,char_eq
1,instruction,integer_gt
1,literal,2
1,instruction,boolean_not
1,instruction,string_yankdup
1,instruction,tag_char_115
1,literal,5
1,instruction,exec_noop
1,instruction,integer_swap
1,instruction,string_fromboolean
1,instruction,integer_dup
1,instruction,integer_pop
1,instruction,print_exec
1,literal,10
1,instruction,boolean_invert_second_then_and
