frequency,type,instruction
5,instruction,in1
4,instruction,exec_do*count
3,instruction,integer_mult
3,instruction,integer_dup
3,instruction,integer_dec
2,instruction,print_newline
2,instruction,integer_inc
2,instruction,boolean_stackdepth
2,instruction,boolean_empty
2,instruction,exec_while
2,instruction,print_integer
2,instruction,integer_empty
1,instruction,boolean_dup_items
1,instruction,exec_empty
1,instruction,boolean_flush
1,instruction,integer_gte
1,instruction,boolean_dup_times
1,instruction,integer_lte
1,instruction,integer_dup_times
1,instruction,exec_dup_times
1,instruction,exec_eq
1,instruction,exec_swap
1,instruction,integer_dup_items
1,instruction,exec_pop
1,instruction,exec_s
1,instruction,integer_lt
1,instruction,exec_stackdepth
1,instruction,exec_when
