frequency,type,instruction
7,instruction,in3
6,instruction,in1
5,instruction,print_newline
5,instruction,integer_add
5,instruction,print_integer
5,instruction,in2
5,instruction,integer_dup
4,instruction,exec_y
3,instruction,integer_inc
3,instruction,exec_if
2,instruction,integer_sub
2,instruction,integer_lte
2,instruction,exec_swap
1,instruction,integer_mult
1,instruction,tagged_879
1,instruction,boolean_empty
1,instruction,exec_do*while
1,instruction,tagged_968
1,instruction,tag_integer_696
1,instruction,exec_empty
1,instruction,tagged_358
1,instruction,integer_gte
1,instruction,integer_div
1,instruction,exec_do*count
1,instruction,tagged_694
1,instruction,tagged_437
1,instruction,tag_integer_847
1,instruction,tagged_148
1,instruction,exec_eq
1,instruction,exec_while
1,instruction,tag_integer_663
1,instruction,tag_integer_129
1,instruction,integer_gt
1,instruction,tagged_869
1,instruction,integer_dec
1,instruction,exec_flush
