frequency,type,instruction
75,instruction,in1
71,instruction,integer_stackdepth
45,instruction,boolean_frominteger
36,instruction,exec_do*vector_integer
36,instruction,exec_do*while
28,instruction,vector_integer_reverse
24,instruction,vector_integer_pushall
16,instruction,exec_do*times
13,instruction,exec_stackdepth
12,instruction,boolean_stackdepth
12,instruction,integer_div
12,instruction,integer_swap
9,instruction,vector_integer_length
8,instruction,integer_mod
8,instruction,integer_dup
7,instruction,exec_flush
6,instruction,vector_integer_conj
5,instruction,integer_yankdup
5,instruction,vector_integer_rest
4,instruction,exec_yankdup
4,instruction,exec_shove
4,instruction,boolean_empty
4,instruction,vector_integer_dup_times
4,instruction,vector_integer_stackdepth
4,instruction,integer_gte
4,instruction,exec_do*count
4,instruction,vector_integer_indexof
4,instruction,exec_while
4,instruction,vector_integer_dup_items
4,instruction,exec_if
4,instruction,integer_dec
4,instruction,exec_when
3,instruction,exec_y
3,instruction,integer_mult
3,instruction,vector_integer_dup
3,instruction,boolean_dup_items
3,instruction,exec_empty
3,instruction,exec_rot
3,instruction,exec_dup
3,instruction,vector_integer_flush
3,instruction,exec_swap
3,instruction,integer_fromboolean
3,instruction,exec_yank
2,instruction,exec_dup_items
2,instruction,vector_integer_butlast
2,instruction,vector_integer_empty
2,instruction,integer_lte
2,instruction,integer_rot
2,instruction,integer_shove
2,instruction,integer_dup_times
2,instruction,exec_dup_times
2,instruction,exec_eq
2,instruction,integer_dup_items
2,instruction,exec_do*range
2,instruction,boolean_invert_first_then_and
2,instruction,vector_integer_last
2,instruction,exec_s
1,instruction,integer_inc
1,instruction,tag_boolean_10
1,instruction,boolean_yank
1,instruction,integer_eq
1,instruction,boolean_or
1,instruction,vector_integer_swap
1,instruction,boolean_shove
1,instruction,vector_integer_replace
1,instruction,vector_integer_occurrencesof
1,instruction,integer_max
1,instruction,tagged_939
1,instruction,vector_integer_replacefirst
1,instruction,boolean_dup
1,instruction,integer_yank
1,literal,43
1,instruction,vector_integer_nth
1,instruction,boolean_eq
1,instruction,integer_flush
1,instruction,exec_y_when_autoconstructing
1,instruction,integer_gt
1,literal,19
1,instruction,integer_lt
1,literal,26
1,instruction,integer_pop
1,instruction,integer_empty
1,instruction,vector_integer_first
1,instruction,boolean_and
1,literal,42
1,literal,49
1,instruction,boolean_yankdup
