frequency,type,instruction
106,instruction,in2
103,instruction,in1
102,instruction,integer_min
100,instruction,integer_max
100,instruction,in3
69,instruction,print_integer
33,instruction,integer_sub
22,instruction,exec_dup
15,instruction,integer_shove
8,instruction,integer_yank
7,instruction,integer_rot
6,instruction,integer_dup_items
6,instruction,exec_s
5,instruction,exec_do*times
4,instruction,exec_shove
4,instruction,integer_gte
4,instruction,exec_stackdepth
3,instruction,exec_do*while
3,instruction,exec_rot
3,instruction,boolean_dup_times
3,instruction,integer_stackdepth
3,instruction,integer_dup
3,instruction,exec_yank
2,instruction,integer_inc
2,instruction,integer_yankdup
2,instruction,exec_swap
2,instruction,exec_if
2,instruction,integer_fromboolean
2,instruction,integer_gt
2,instruction,integer_empty
2,instruction,integer_dec
1,instruction,boolean_stackdepth
1,instruction,exec_yankdup
1,instruction,boolean_swap
1,instruction,boolean_yank
1,instruction,boolean_empty
1,literal,-55
1,literal,58
1,instruction,exec_empty
1,instruction,boolean_flush
1,literal,92
1,instruction,boolean_shove
1,instruction,exec_do*count
1,instruction,exec_eq
1,instruction,boolean_not
1,literal,76
1,instruction,integer_lt
1,instruction,integer_swap
1,instruction,integer_pop
1,instruction,exec_when
