frequency,type,instruction
99,instruction,in1
99,instruction,in2
98,instruction,vector_integer_eq
98,instruction,vector_integer_reverse
5,instruction,exec_y
3,instruction,exec_swap
3,instruction,exec_s
2,instruction,exec_do*vector_integer
2,instruction,exec_rot
2,instruction,integer_empty
1,instruction,integer_eq
1,instruction,boolean_empty
1,instruction,exec_do*while
1,instruction,exec_dup
1,instruction,boolean_xor
1,instruction,tagged_611
1,instruction,exec_yank
1,instruction,exec_stackdepth
1,instruction,boolean_and
