frequency,type,instruction
140,instruction,in1
86,literal,0
61,instruction,exec_do*vector_integer
59,instruction,integer_min
46,instruction,boolean_stackdepth
43,instruction,exec_y
34,instruction,vector_integer_replace
33,instruction,vector_integer_replacefirst
31,instruction,vector_integer_pushall
28,instruction,integer_stackdepth
27,instruction,vector_integer_dup
26,instruction,vector_integer_stackdepth
25,instruction,exec_stackdepth
24,instruction,exec_do*count
23,instruction,integer_fromboolean
19,instruction,integer_max
16,instruction,vector_integer_set
15,instruction,exec_dup
13,instruction,exec_do*range
11,instruction,integer_dup
10,instruction,integer_empty
10,instruction,integer_dec
9,instruction,exec_empty
9,instruction,vector_integer_swap
9,literal,[]
9,instruction,vector_integer_length
9,instruction,exec_s
8,instruction,integer_sub
8,instruction,vector_integer_shove
7,instruction,vector_integer_dup_times
7,instruction,boolean_shove
7,instruction,exec_eq
6,instruction,exec_shove
6,instruction,integer_mult
6,instruction,exec_do*while
6,instruction,exec_k_when_autoconstructing
6,instruction,vector_integer_conj
6,instruction,boolean_yankdup
5,instruction,boolean_dup_times
5,instruction,vector_integer_yankdup
5,instruction,integer_div
5,instruction,vector_integer_subvec
5,instruction,exec_dup_times
5,instruction,vector_integer_last
5,instruction,exec_do*times
5,instruction,vector_integer_reverse
5,instruction,exec_noop
4,instruction,integer_yankdup
4,instruction,integer_eq
4,instruction,exec_dup_items
4,instruction,exec_rot
4,instruction,vector_integer_empty
4,instruction,integer_gte
4,instruction,vector_integer_rot
4,instruction,integer_mod
4,instruction,exec_if
4,instruction,vector_integer_pop
4,instruction,integer_swap
4,instruction,exec_when
3,instruction,vector_integer_eq
3,instruction,exec_yankdup
3,instruction,boolean_yank
3,instruction,boolean_or
3,instruction,boolean_empty
3,instruction,boolean_dup_items
3,instruction,vector_integer_yank
3,instruction,integer_rot
3,instruction,integer_add
3,instruction,vector_integer_occurrencesof
3,instruction,exec_swap
3,instruction,integer_dup_items
3,instruction,vector_integer_dup_items
3,instruction,boolean_frominteger
3,instruction,exec_y_when_autoconstructing
3,instruction,integer_gt
3,instruction,boolean_not
3,instruction,integer_lt
3,instruction,boolean_and
2,instruction,boolean_pop
2,instruction,vector_integer_emptyvector
2,instruction,boolean_rot
2,instruction,vector_integer_contains
2,instruction,integer_dup_times
2,instruction,boolean_dup
2,instruction,integer_yank
2,instruction,exec_while
2,instruction,vector_integer_nth
2,instruction,vector_integer_remove
2,instruction,vector_integer_concat
2,instruction,integer_flush
2,instruction,exec_yank
2,instruction,boolean_invert_second_then_and
1,instruction,integer_inc
1,instruction,tag_integer_430
1,instruction,boolean_swap
1,instruction,exec_s_when_autoconstructing
1,instruction,vector_integer_butlast
1,instruction,boolean_flush
1,instruction,exec_k
1,instruction,integer_lte
1,instruction,tag_integer_781
1,instruction,vector_integer_flush
1,instruction,tagged_530
1,instruction,tagged_135
1,instruction,vector_integer_indexof
1,instruction,tag_integer_842
1,instruction,vector_integer_rest
1,instruction,boolean_invert_first_then_and
1,instruction,boolean_eq
1,instruction,exec_pop
1,instruction,vector_integer_first
1,instruction,tag_vector_integer_522
1,instruction,exec_flush
