frequency,type,instruction
169,instruction,in1
143,literal, 
107,literal,

99,instruction,string_replacechar
99,instruction,print_string
66,instruction,string_removechar
61,instruction,string_length
37,instruction,string_stackdepth
36,instruction,string_concat
34,instruction,string_split
23,instruction,char_stackdepth
20,instruction,string_parse_to_chars
18,instruction,exec_string_iterate
18,instruction,char_allfromstring
15,instruction,exec_dup
14,instruction,string_dup
12,instruction,exec_stackdepth
11,instruction,exec_s
9,instruction,exec_dup_times
7,instruction,boolean_stackdepth
7,instruction,exec_do*range
6,instruction,char_dup
5,instruction,exec_do*while
5,instruction,exec_rot
5,instruction,exec_do*count
4,instruction,string_fromchar
4,instruction,exec_y
4,instruction,exec_swap
4,instruction,exec_do*times
4,instruction,string_yankdup
3,instruction,char_rot
3,instruction,char_swap
3,instruction,integer_fromchar
3,instruction,integer_fromboolean
3,instruction,char_isletter
2,instruction,integer_sub
2,instruction,exec_yankdup
2,instruction,boolean_empty
2,instruction,char_dup_items
2,instruction,exec_empty
2,instruction,print_char
2,instruction,string_dup_times
2,instruction,exec_eq
2,instruction,exec_while
2,instruction,string_empty
2,instruction,char_empty
2,instruction,integer_dec
2,instruction,string_dup_items
2,instruction,exec_flush
2,instruction,boolean_yankdup
1,instruction,integer_inc
1,instruction,string_conjchar
1,literal, X 
1,instruction,char_iswhitespace
1,instruction,string_first
1,instruction,string_indexofchar
1,literal,d
1,literal, + ;i{R0\+p 
1,instruction,char_frominteger
1,instruction,string_shove
1,instruction,char_pop
1,instruction,tagged_243
1,instruction,tagged_856
1,instruction,integer_gte
1,instruction,boolean_dup_times
1,instruction,string_replacefirst
1,instruction,integer_mod
1,instruction,integer_rot
1,literal,YebHh2O 2)K  ]*_  
1,literal,L
1,instruction,char_dup_times
1,instruction,tag_char_776
1,instruction,integer_stackdepth
1,instruction,tag_string_474
1,instruction,tagged_598
1,instruction,integer_yank
1,instruction,string_pop
1,instruction,integer_dup_items
1,instruction,string_nth
1,instruction,char_shove
1,instruction,char_yankdup
1,instruction,boolean_frominteger
1,instruction,string_occurrencesofchar
1,instruction,string_replacefirstchar
1,instruction,string_replace
1,instruction,exec_y_when_autoconstructing
1,instruction,char_eq
1,instruction,tag_char_857
1,instruction,tag_string_680
1,literal,  DbMka'vA  eO fm
1,instruction,boolean_not
1,literal,X  +~+)
1,instruction,tag_exec_258
1,instruction,tagged_369
1,instruction,string_yank
1,instruction,exec_noop
1,instruction,string_fromboolean
1,instruction,exec_yank
1,instruction,integer_pop
1,instruction,integer_empty
1,instruction,string_contains
1,literal,}
