frequency,type,instruction
40,instruction,in1
31,instruction,integer_fromchar
31,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
31,instruction,vector_integer_nth
30,instruction,exec_string_iterate
22,instruction,integer_add
14,instruction,char_stackdepth
7,instruction,char_dup_times
7,instruction,integer_stackdepth
6,instruction,char_allfromstring
4,instruction,boolean_stackdepth
4,instruction,vector_integer_stackdepth
4,instruction,exec_do*count
4,instruction,string_stackdepth
4,instruction,integer_empty
3,instruction,exec_y
3,instruction,string_dup_times
3,instruction,char_dup
2,instruction,integer_yankdup
2,instruction,boolean_empty
2,instruction,exec_empty
2,instruction,exec_dup
2,instruction,vector_integer_dup_times
2,instruction,string_last
2,instruction,integer_dup_times
2,instruction,exec_dup_times
2,instruction,vector_integer_rest
2,instruction,integer_fromboolean
2,instruction,boolean_frominteger
2,instruction,integer_flush
2,instruction,integer_gt
2,instruction,char_empty
2,instruction,string_split
2,instruction,exec_stackdepth
1,instruction,integer_sub
1,instruction,boolean_pop
1,instruction,string_substring
1,instruction,vector_integer_dup
1,instruction,boolean_or
1,instruction,exec_do*while
1,instruction,exec_dup_items
1,instruction,boolean_flush
1,instruction,boolean_xor
1,instruction,boolean_dup_times
1,instruction,vector_integer_yankdup
1,instruction,integer_div
1,instruction,vector_integer_occurrencesof
1,instruction,integer_shove
1,instruction,char_swap
1,instruction,string_take
1,instruction,vector_integer_indexof
1,instruction,string_swap
1,instruction,exec_swap
1,instruction,string_replacechar
1,instruction,string_nth
1,instruction,exec_do*range
1,instruction,vector_integer_remove
1,instruction,char_yankdup
1,instruction,char_isletter
1,instruction,vector_integer_concat
1,instruction,string_occurrencesofchar
1,instruction,string_replace
1,instruction,vector_integer_length
1,instruction,exec_do*times
1,instruction,exec_s
1,instruction,integer_lt
1,instruction,string_yank
1,instruction,vector_integer_pushall
1,instruction,string_fromboolean
1,instruction,string_parse_to_chars
1,instruction,boolean_and
1,instruction,string_length
1,instruction,boolean_invert_second_then_and
1,instruction,string_dup
