frequency,type,instruction
40,instruction,in1
30,instruction,integer_add
26,instruction,print_string
25,literal,small
23,literal,large
19,instruction,exec_stackdepth
14,instruction,integer_div
13,instruction,exec_yank
12,instruction,string_length
11,instruction,integer_dup
10,instruction,integer_yankdup
10,instruction,integer_stackdepth
10,instruction,integer_dup_times
10,instruction,integer_flush
10,instruction,boolean_and
9,instruction,string_dup_times
9,instruction,string_take
9,instruction,integer_min
9,instruction,integer_dec
8,instruction,integer_sub
8,instruction,string_butlast
8,instruction,boolean_flush
8,instruction,exec_dup_times
8,instruction,boolean_eq
8,instruction,string_yankdup
8,instruction,integer_lt
8,instruction,string_dup
7,instruction,string_flush
7,instruction,string_substring
7,instruction,exec_dup
7,instruction,integer_mod
7,instruction,integer_shove
7,instruction,string_emptystring
7,instruction,integer_yank
7,instruction,boolean_not
7,instruction,string_rot
7,instruction,string_frominteger
6,instruction,boolean_swap
6,instruction,integer_mult
6,instruction,boolean_dup_times
6,instruction,string_replacefirst
6,instruction,exec_do*count
6,instruction,integer_rot
6,instruction,boolean_invert_first_then_and
6,instruction,string_yank
6,instruction,string_rest
6,instruction,string_contains
6,instruction,exec_when
5,instruction,integer_inc
5,instruction,exec_shove
5,instruction,exec_dup_items
5,instruction,boolean_dup_items
5,instruction,boolean_xor
5,instruction,string_stackdepth
5,instruction,integer_pop
5,instruction,string_dup_items
4,instruction,boolean_stackdepth
4,instruction,exec_yankdup
4,instruction,boolean_yank
4,instruction,exec_s_when_autoconstructing
4,instruction,exec_do*while
4,instruction,integer_fromstring
4,instruction,exec_empty
4,instruction,string_shove
4,instruction,boolean_rot
4,instruction,integer_lte
4,instruction,exec_do*range
4,instruction,exec_if
4,instruction,exec_y_when_autoconstructing
4,instruction,integer_gt
4,instruction,exec_do*times
4,instruction,integer_swap
4,instruction,boolean_yankdup
3,instruction,exec_y
3,instruction,integer_eq
3,instruction,boolean_or
3,instruction,string_concat
3,instruction,string_swap
3,instruction,exec_swap
3,instruction,string_pop
3,instruction,integer_dup_items
3,instruction,integer_fromboolean
3,instruction,print_integer
3,instruction,string_replace
3,instruction,exec_pop
3,instruction,exec_noop
3,instruction,string_fromboolean
3,instruction,integer_empty
2,instruction,boolean_pop
2,instruction,integer_gte
2,instruction,integer_max
2,instruction,string_eq
2,instruction,boolean_dup
2,instruction,exec_eq
2,instruction,exec_while
2,instruction,boolean_frominteger
2,instruction,string_empty
2,instruction,exec_s
2,instruction,string_split
2,instruction,string_parse_to_chars
2,instruction,boolean_invert_second_then_and
1,instruction,print_newline
1,literal,-2018
1,instruction,boolean_empty
1,literal,-2010
1,literal,-1991
1,literal,1981
1,instruction,exec_rot
1,instruction,tagged_434
1,literal,5985
1,instruction,string_reverse
1,instruction,print_boolean
1,instruction,tag_boolean_565
1,instruction,exec_k_when_autoconstructing
1,literal,-2020
1,literal,9899
1,literal,-1974
1,literal,-198
1,instruction,tagged_898
1,literal,5996
1,instruction,tag_exec_204
1,literal,5142
1,instruction,tagged_668
1,literal,-3970
1,instruction,tagged_16
1,literal,1162
1,literal,200
1,literal,-8669
1,literal,-3991
1,literal,3489
1,literal,-4029
1,literal,-1564
1,instruction,tag_exec_695
1,instruction,exec_flush
1,literal,960
