frequency,type,instruction
268,instruction,integer_min
100,instruction,in3
99,instruction,in1
99,instruction,in2
98,instruction,print_integer
98,instruction,in4
13,instruction,exec_dup
9,instruction,exec_s
4,instruction,exec_yankdup
3,instruction,exec_y
3,instruction,integer_shove
3,instruction,integer_stackdepth
3,instruction,exec_eq
2,instruction,boolean_stackdepth
2,instruction,exec_rot
2,instruction,exec_do*count
2,instruction,integer_yank
2,instruction,exec_swap
2,instruction,exec_stackdepth
2,instruction,exec_flush
1,instruction,integer_sub
1,instruction,exec_shove
1,instruction,exec_do*while
1,instruction,boolean_dup_items
1,instruction,tag_integer_632
1,literal,77
1,instruction,print_boolean
1,instruction,tagged_693
1,instruction,integer_mod
1,instruction,integer_rot
1,literal,40
1,literal,-23
1,instruction,tag_exec_887
1,instruction,integer_dup_times
1,instruction,boolean_dup
1,instruction,tagged_352
1,instruction,exec_while
1,instruction,exec_if
1,instruction,exec_do*times
1,instruction,tagged_213
1,instruction,exec_pop
1,instruction,integer_lt
1,instruction,integer_dup
1,instruction,exec_yank
