frequency,type,instruction
3,instruction,print_char
2,instruction,in1
1,literal, 
1,instruction,boolean_stackdepth
1,instruction,string_fromchar
1,instruction,boolean_or
1,instruction,char_iswhitespace
1,instruction,exec_string_iterate
1,instruction,exec_dup
1,literal,

1,instruction,string_emptystring
1,instruction,char_allfromstring
1,instruction,exec_if
1,instruction,print_integer
1,instruction,char_dup
1,instruction,boolean_not
1,instruction,char_empty
1,instruction,in2
1,instruction,string_containschar
1,instruction,string_parse_to_chars
1,instruction,string_dup
