frequency,type,instruction
110,instruction,print_integer
107,instruction,in1
105,instruction,string_length
96,instruction,print_newline
94,instruction,exec_do*vector_string
77,instruction,vector_string_reverse
37,instruction,exec_stackdepth
28,instruction,exec_if
26,instruction,exec_dup_times
22,instruction,string_empty
19,instruction,string_stackdepth
17,instruction,exec_yankdup
17,instruction,exec_y
16,instruction,exec_when
14,instruction,exec_flush
13,instruction,vector_string_pushall
13,instruction,integer_empty
13,instruction,vector_string_empty
11,instruction,exec_while
11,instruction,integer_dup
10,instruction,boolean_stackdepth
9,instruction,exec_eq
9,instruction,exec_swap
9,instruction,exec_yank
8,instruction,boolean_empty
8,instruction,exec_do*while
8,instruction,exec_empty
8,instruction,vector_string_stackdepth
7,instruction,string_shove
7,instruction,string_yank
6,instruction,vector_string_dup
6,instruction,integer_stackdepth
6,instruction,vector_string_first
6,instruction,boolean_frominteger
5,instruction,vector_string_occurrencesof
5,instruction,vector_string_butlast
5,instruction,string_emptystring
5,instruction,vector_string_yank
5,instruction,string_fromboolean
5,instruction,vector_string_length
4,instruction,boolean_pop
4,instruction,integer_yankdup
4,instruction,exec_shove
4,instruction,boolean_yank
4,instruction,integer_eq
4,instruction,string_substring
4,instruction,vector_string_subvec
4,instruction,boolean_dup_times
4,instruction,boolean_shove
4,instruction,integer_rot
4,instruction,vector_string_last
4,instruction,integer_gt
4,instruction,boolean_not
4,instruction,exec_pop
4,instruction,vector_string_set
4,instruction,vector_string_dup_items
4,instruction,integer_dec
4,instruction,boolean_and
4,instruction,string_frominteger
3,instruction,string_flush
3,instruction,integer_mult
3,instruction,vector_string_dup_times
3,instruction,print_vector_string
3,instruction,vector_string_replacefirst
3,instruction,vector_string_eq
3,instruction,print_boolean
3,instruction,boolean_rot
3,instruction,vector_string_rest
3,instruction,integer_mod
3,instruction,exec_k_when_autoconstructing
3,instruction,integer_add
3,instruction,integer_shove
3,instruction,vector_string_remove
3,instruction,string_eq
3,instruction,string_replace
3,instruction,string_parse_to_chars
2,instruction,boolean_or
2,instruction,exec_dup_items
2,instruction,boolean_dup_items
2,instruction,exec_dup
2,instruction,vector_string_flush
2,instruction,boolean_xor
2,instruction,integer_gte
2,instruction,string_replacefirst
2,instruction,integer_div
2,instruction,integer_lte
2,instruction,vector_string_yankdup
2,instruction,vector_string_take
2,instruction,string_dup_times
2,instruction,boolean_dup
2,instruction,integer_yank
2,instruction,vector_string_pop
2,instruction,exec_do*range
2,instruction,boolean_invert_first_then_and
2,instruction,print_string
2,instruction,boolean_eq
2,instruction,exec_y_when_autoconstructing
2,instruction,vector_string_conj
2,instruction,exec_do*times
2,instruction,vector_string_emptyvector
2,instruction,integer_swap
2,instruction,string_rot
2,instruction,string_dup_items
2,instruction,boolean_invert_second_then_and
1,instruction,integer_sub
1,instruction,integer_inc
1,instruction,tag_string_166
1,literal,-12
1,instruction,boolean_swap
1,instruction,string_butlast
1,instruction,exec_s_when_autoconstructing
1,instruction,tag_vector_string_408
1,instruction,tag_exec_343
1,instruction,exec_rot
1,literal,95
1,literal,-92
1,instruction,string_concat
1,literal,21
1,instruction,tag_exec_324
1,instruction,tagged_834
1,instruction,vector_string_swap
1,instruction,string_swap
1,instruction,tag_exec_615
1,literal,100
1,instruction,integer_min
1,literal,-31
1,instruction,string_pop
1,instruction,integer_dup_items
1,instruction,integer_fromboolean
1,instruction,tagged_557
1,literal,-26
1,instruction,vector_string_indexof
1,literal,47
1,instruction,string_yankdup
1,instruction,vector_string_replace
1,instruction,tagged_220
1,instruction,exec_s
1,instruction,vector_string_nth
1,instruction,integer_lt
1,instruction,string_split
1,instruction,string_rest
1,instruction,string_contains
1,literal,10
1,instruction,vector_string_contains
1,literal,71
1,literal,63
1,instruction,string_dup
1,instruction,boolean_yankdup
