frequency,type,instruction
35,instruction,in1
30,instruction,integer_add
23,instruction,integer_mult
19,instruction,integer_dup
14,instruction,exec_y
13,instruction,exec_do*count
13,instruction,exec_do*range
11,instruction,integer_stackdepth
7,instruction,integer_inc
5,literal,0
4,literal,1
4,instruction,integer_dup_times
3,instruction,exec_dup_times
2,instruction,boolean_stackdepth
2,instruction,boolean_empty
2,instruction,integer_div
2,instruction,integer_fromboolean
1,instruction,tag_exec_39
1,instruction,exec_dup_items
1,instruction,exec_dup
1,instruction,tagged_883
1,instruction,integer_rot
1,instruction,boolean_dup
1,instruction,exec_eq
1,instruction,integer_yank
1,instruction,exec_swap
1,instruction,integer_dup_items
1,instruction,exec_do*times
1,instruction,exec_s
1,literal,5
1,instruction,integer_lt
1,instruction,integer_pop
1,instruction,exec_stackdepth
