frequency,type,instruction
5,instruction,in2
4,instruction,in1
4,instruction,exec_string_iterate
4,instruction,string_replacefirstchar
3,instruction,string_dup
2,instruction,string_first
2,instruction,char_stackdepth
2,instruction,exec_dup_times
2,instruction,char_dup
2,instruction,char_empty
2,instruction,string_yankdup
2,instruction,string_containschar
2,instruction,exec_stackdepth
2,instruction,boolean_and
1,instruction,char_dup_items
1,instruction,char_iswhitespace
1,instruction,string_indexofchar
1,instruction,char_frominteger
1,instruction,exec_dup
1,literal,&
1,instruction,char_rot
1,literal,	
1,literal,J
1,instruction,string_dup_times
1,literal,-
1,literal,M
1,instruction,integer_stackdepth
1,instruction,exec_eq
1,instruction,string_occurrencesofchar
1,literal,-477
1,instruction,string_removechar
1,instruction,integer_lt
1,literal,Z
1,instruction,string_fromboolean
1,instruction,integer_empty
1,instruction,string_contains
