frequency,type,instruction
72,literal,The number of syllables is 
69,literal,aeiouy
68,instruction,in1
65,instruction,print_string
61,instruction,exec_string_iterate
61,instruction,print_integer
53,instruction,string_occurrencesofchar
32,instruction,boolean_stackdepth
18,literal,e
18,instruction,string_replacechar
18,literal,y
15,literal,a
15,instruction,char_stackdepth
14,instruction,exec_dup
14,instruction,boolean_dup_times
14,instruction,integer_add
14,instruction,string_containschar
13,literal,o
12,instruction,string_stackdepth
11,instruction,char_isdigit
11,instruction,char_isletter
10,literal,u
9,instruction,exec_s
8,literal,i
8,instruction,char_empty
7,instruction,exec_do*while
7,instruction,integer_fromboolean
6,instruction,char_dup_items
6,instruction,exec_empty
6,instruction,string_empty
5,instruction,integer_inc
5,instruction,string_indexofchar
5,instruction,exec_do*count
5,instruction,char_allfromstring
5,instruction,exec_if
5,instruction,boolean_not
5,instruction,string_fromboolean
5,instruction,integer_pop
5,instruction,string_frominteger
4,instruction,boolean_dup_items
4,instruction,string_last
4,instruction,integer_stackdepth
4,instruction,exec_dup_times
4,instruction,exec_eq
4,instruction,string_emptystring
4,instruction,char_dup
4,instruction,integer_lt
4,instruction,integer_empty
4,instruction,string_length
4,instruction,exec_when
3,instruction,string_fromchar
3,instruction,exec_yankdup
3,instruction,string_conjchar
3,instruction,char_iswhitespace
3,instruction,exec_dup_items
3,instruction,integer_shove
3,instruction,string_dup_times
3,instruction,char_dup_times
3,instruction,string_eq
3,instruction,integer_dup_times
3,instruction,boolean_dup
3,instruction,boolean_frominteger
3,instruction,exec_do*times
3,instruction,integer_dec
3,instruction,string_contains
3,instruction,string_dup
2,instruction,boolean_empty
2,instruction,string_first
2,instruction,string_reverse
2,instruction,integer_gte
2,instruction,string_concat
2,instruction,integer_yank
2,instruction,integer_fromchar
2,instruction,exec_do*range
2,instruction,char_yankdup
2,instruction,string_replacefirstchar
2,instruction,string_replace
2,instruction,exec_stackdepth
1,instruction,integer_sub
1,instruction,integer_eq
1,instruction,string_butlast
1,instruction,integer_mult
1,instruction,exec_s_when_autoconstructing
1,literal,c
1,instruction,char_frominteger
1,instruction,exec_rot
1,literal,$ue3xeh3j|8e^6gf8
1,instruction,exec_k
1,instruction,char_rot
1,instruction,boolean_xor
1,instruction,string_replacefirst
1,instruction,boolean_shove
1,literal,)
1,instruction,boolean_rot
1,instruction,integer_div
1,instruction,integer_lte
1,instruction,exec_k_when_autoconstructing
1,instruction,integer_max
1,literal,s!=ou.?u! z42`1]7o
1,instruction,exec_while
1,literal,.f^oo6|yo0*yw`
1,instruction,integer_min
1,literal,q
1,instruction,char_yank
1,instruction,string_setchar
1,instruction,integer_flush
1,instruction,exec_y_when_autoconstructing
1,instruction,string_yankdup
1,instruction,char_flush
1,instruction,string_yank
1,instruction,integer_swap
1,instruction,string_split
1,literal,x*edu-aq60_i
1,instruction,string_rot
1,instruction,exec_yank
1,instruction,string_parse_to_chars
1,instruction,string_dup_items
1,instruction,boolean_and
1,literal, #ce~hk&o$\mie 2eg
1,instruction,boolean_invert_second_then_and
1,instruction,boolean_yankdup
