frequency,type,instruction
127,instruction,in1
104,instruction,float_frominteger
101,instruction,float_add
97,instruction,float_div
69,instruction,float_stackdepth
67,instruction,exec_do*vector_float
37,instruction,vector_float_length
35,instruction,vector_float_pushall
22,instruction,exec_do*count
19,instruction,integer_stackdepth
14,instruction,exec_stackdepth
13,instruction,vector_float_stackdepth
12,instruction,exec_dup_times
11,instruction,integer_inc
11,instruction,exec_do*range
9,instruction,exec_do*times
9,instruction,vector_float_dup
8,instruction,float_swap
7,instruction,exec_dup
7,instruction,integer_dup
5,instruction,integer_yank
5,instruction,exec_swap
5,instruction,float_dup
5,instruction,float_yank
4,instruction,float_yankdup
4,instruction,vector_float_dup_items
4,instruction,integer_add
4,instruction,float_dup_items
4,instruction,integer_dup_times
4,instruction,float_min
4,instruction,float_inc
3,instruction,vector_float_replace
3,instruction,integer_shove
3,instruction,integer_min
3,instruction,float_shove
3,instruction,float_pop
3,instruction,exec_s
3,instruction,integer_swap
3,instruction,vector_float_yank
3,instruction,integer_dec
3,instruction,vector_float_swap
2,instruction,integer_sub
2,instruction,integer_yankdup
2,instruction,exec_shove
2,instruction,exec_dup_items
2,instruction,vector_float_butlast
2,instruction,vector_float_indexof
2,instruction,vector_float_rest
2,instruction,vector_float_reverse
2,instruction,vector_float_subvec
2,instruction,integer_div
2,instruction,integer_mod
2,instruction,integer_rot
2,instruction,vector_float_replacefirst
2,instruction,integer_dup_items
2,instruction,float_mult
2,instruction,exec_noop
2,instruction,exec_yank
2,instruction,integer_pop
2,instruction,float_dup_times
2,instruction,float_flush
1,instruction,vector_float_yankdup
1,instruction,exec_y
1,instruction,vector_float_last
1,instruction,tagged_804
1,instruction,exec_rot
1,instruction,float_mod
1,instruction,vector_float_remove
1,instruction,exec_k_when_autoconstructing
1,instruction,tagged_141
1,instruction,integer_max
1,instruction,vector_float_pop
1,instruction,float_max
1,instruction,vector_float_conj
1,instruction,tagged_401
1,instruction,tag_float_213
1,instruction,integer_flush
1,instruction,exec_y_when_autoconstructing
1,instruction,vector_float_nth
1,instruction,float_dec
1,instruction,vector_float_rot
1,instruction,tag_float_628
1,instruction,vector_float_flush
1,instruction,tag_float_120
1,instruction,vector_float_concat
1,instruction,float_rot
1,instruction,exec_flush
1,instruction,vector_float_take
1,instruction,tagged_175
1,instruction,tag_exec_998
