frequency,type,instruction
34,instruction,in2
29,instruction,in1
24,instruction,exec_do*vector_integer
21,instruction,integer_add
18,instruction,vector_integer_pushall
17,instruction,vector_integer_set
15,instruction,integer_stackdepth
9,instruction,vector_integer_reverse
7,literal,[]
6,instruction,vector_integer_stackdepth
5,instruction,vector_integer_swap
5,instruction,vector_integer_conj
4,instruction,vector_integer_dup
4,instruction,vector_integer_nth
4,instruction,integer_dec
4,instruction,exec_stackdepth
3,instruction,exec_dup
3,instruction,exec_do*count
3,instruction,exec_dup_times
3,instruction,vector_integer_rest
3,instruction,vector_integer_concat
2,instruction,vector_integer_shove
2,instruction,exec_shove
2,instruction,vector_integer_yankdup
2,instruction,vector_integer_rot
2,instruction,vector_integer_indexof
2,instruction,integer_yank
2,instruction,vector_integer_dup_items
2,instruction,vector_integer_length
2,instruction,integer_swap
2,instruction,integer_dup
1,instruction,integer_inc
1,instruction,integer_mult
1,instruction,exec_s_when_autoconstructing
1,instruction,tag_integer_375
1,literal,961
1,instruction,exec_rot
1,literal,478
1,instruction,vector_integer_butlast
1,instruction,vector_integer_dup_times
1,instruction,vector_integer_occurrencesof
1,instruction,integer_shove
1,literal,-926
1,instruction,tagged_223
1,instruction,vector_integer_last
1,literal,-851
1,instruction,exec_y_when_autoconstructing
1,instruction,exec_do*times
1,instruction,exec_s
1,instruction,exec_yank
1,instruction,exec_flush
