frequency,type,instruction
147,instruction,in2
120,instruction,print_string
115,instruction,string_reverse
100,literal, 
95,instruction,string_split
94,instruction,in1
87,literal,

74,instruction,string_conjchar
71,instruction,exec_y
52,instruction,char_dup_items
46,instruction,char_dup_times
46,instruction,string_stackdepth
34,instruction,exec_dup_times
28,instruction,print_char
26,instruction,exec_do*times
25,instruction,exec_do*count
22,instruction,exec_do*while
19,instruction,integer_dec
19,instruction,exec_stackdepth
18,instruction,string_empty
16,instruction,char_iswhitespace
14,instruction,exec_dup_items
14,instruction,char_stackdepth
13,instruction,integer_fromchar
12,instruction,char_pop
12,instruction,char_shove
12,instruction,char_yankdup
11,instruction,integer_pop
10,instruction,integer_mod
10,instruction,char_dup
10,instruction,string_removechar
10,instruction,integer_dup
9,instruction,exec_shove
9,instruction,char_isdigit
9,instruction,integer_add
9,instruction,integer_dup_times
9,instruction,integer_min
9,instruction,integer_empty
9,instruction,string_dup
8,instruction,integer_inc
8,instruction,exec_yankdup
8,instruction,integer_stackdepth
8,instruction,string_replacechar
8,instruction,exec_if
8,instruction,char_isletter
8,instruction,exec_yank
8,instruction,exec_when
7,instruction,print_newline
7,instruction,boolean_dup_times
7,instruction,integer_dup_items
7,instruction,char_flush
6,instruction,exec_empty
6,instruction,exec_dup
6,instruction,integer_shove
6,instruction,char_yank
6,instruction,boolean_invert_first_then_and
5,instruction,boolean_stackdepth
5,instruction,string_fromchar
5,instruction,integer_eq
5,instruction,string_butlast
5,instruction,string_substring
5,instruction,integer_mult
5,instruction,exec_s_when_autoconstructing
5,instruction,boolean_dup_items
5,instruction,boolean_flush
5,instruction,exec_do*range
5,instruction,print_integer
5,instruction,string_replacefirstchar
5,instruction,integer_gt
5,instruction,string_length
5,instruction,exec_flush
4,instruction,integer_sub
4,instruction,boolean_empty
4,instruction,string_indexofchar
4,instruction,string_shove
4,instruction,boolean_rot
4,instruction,integer_lte
4,instruction,string_concat
4,instruction,integer_rot
4,instruction,char_swap
4,instruction,integer_max
4,instruction,string_take
4,instruction,exec_while
4,instruction,exec_swap
4,instruction,integer_swap
4,instruction,boolean_and
4,instruction,boolean_yankdup
3,instruction,integer_yankdup
3,instruction,string_flush
3,instruction,boolean_swap
3,instruction,boolean_yank
3,instruction,exec_string_iterate
3,instruction,integer_fromstring
3,instruction,exec_k
3,instruction,char_rot
3,instruction,exec_k_when_autoconstructing
3,instruction,boolean_dup
3,instruction,exec_eq
3,instruction,string_swap
3,instruction,boolean_frominteger
3,instruction,boolean_eq
3,instruction,integer_flush
3,instruction,char_empty
3,instruction,integer_lt
3,instruction,string_yank
3,instruction,string_fromboolean
3,instruction,string_rest
3,instruction,string_parse_to_chars
3,instruction,string_frominteger
2,instruction,boolean_pop
2,instruction,exec_rot
2,instruction,boolean_xor
2,instruction,integer_gte
2,instruction,string_replacefirst
2,instruction,boolean_shove
2,instruction,string_last
2,instruction,print_boolean
2,instruction,string_eq
2,instruction,char_allfromstring
2,instruction,string_nth
2,instruction,integer_fromboolean
2,instruction,string_occurrencesofchar
2,instruction,exec_y_when_autoconstructing
2,instruction,char_eq
2,instruction,exec_s
2,instruction,string_rot
2,instruction,string_contains
2,instruction,string_dup_items
2,instruction,boolean_invert_second_then_and
1,instruction,tagged_545
1,instruction,boolean_or
1,instruction,string_first
1,instruction,integer_div
1,instruction,string_dup_times
1,instruction,string_emptystring
1,instruction,integer_yank
1,instruction,tagged_791
1,instruction,string_setchar
1,instruction,string_replace
1,instruction,boolean_not
1,instruction,tag_char_95
1,instruction,exec_pop
1,instruction,string_containschar
1,instruction,tagged_433
1,instruction,exec_noop
1,instruction,print_exec
1,instruction,tag_string_622
