frequency,type,instruction
2919,instruction,in1
2918,instruction,in2
2918,instruction,in3
1297,instruction,integer_add
1075,instruction,integer_min
1061,instruction,integer_stackdepth
1048,instruction,print_integer
885,instruction,print_string
871,instruction,exec_string_iterate
743,instruction,exec_do*vector_integer
713,instruction,print_char
646,instruction,vector_integer_reverse
632,instruction,boolean_stackdepth
616,instruction,float_frominteger
605,instruction,float_add
603,instruction,integer_dup
576,instruction,exec_do*count
533,instruction,exec_y
528,instruction,exec_stackdepth
510,literal, 
500,instruction,integer_mod
472,instruction,vector_integer_eq
469,instruction,integer_mult
456,instruction,print_newline
441,instruction,exec_dup
441,instruction,exec_dup_times
410,instruction,char_dup
400,literal,

392,instruction,print_float
386,instruction,integer_fromchar
379,instruction,string_length
375,instruction,string_dup
370,instruction,exec_do*while
364,instruction,integer_inc
340,instruction,integer_dec
334,instruction,exec_if
333,instruction,char_stackdepth
321,literal,0
319,instruction,integer_max
290,instruction,vector_integer_pushall
282,instruction,string_stackdepth
274,instruction,integer_empty
256,instruction,exec_when
247,instruction,exec_s
237,instruction,boolean_empty
236,instruction,string_replacechar
232,instruction,vector_integer_nth
231,instruction,string_shove
231,instruction,exec_do*range
224,instruction,integer_sub
222,instruction,boolean_frominteger
218,instruction,exec_do*times
217,instruction,char_empty
216,instruction,float_div
210,instruction,exec_swap
210,instruction,string_containschar
201,instruction,integer_lt
199,instruction,exec_while
196,instruction,char_allfromstring
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
195,instruction,integer_div
194,instruction,exec_eq
194,instruction,string_occurrencesofchar
192,instruction,string_fromchar
192,instruction,string_split
191,instruction,exec_empty
191,instruction,string_frominteger
179,instruction,string_reverse
179,instruction,string_dup_times
172,instruction,string_concat
171,instruction,integer_dup_times
170,instruction,string_removechar
170,instruction,string_parse_to_chars
169,instruction,char_isletter
167,literal,!
163,instruction,string_replacefirstchar
158,instruction,exec_do*vector_string
158,instruction,vector_integer_set
156,instruction,boolean_dup_times
155,literal,The number of syllables is 
152,instruction,float_stackdepth
152,instruction,string_yankdup
151,instruction,boolean_not
149,literal,aeiouy
146,instruction,integer_fromboolean
144,instruction,char_frominteger
143,literal,2
143,instruction,exec_do*vector_float
142,instruction,char_iswhitespace
140,instruction,boolean_and
136,instruction,vector_integer_stackdepth
135,instruction,integer_lte
135,literal,64
134,instruction,string_conjchar
134,instruction,char_dup_times
131,instruction,string_emptystring
130,instruction,char_dup_items
130,instruction,exec_flush
129,instruction,vector_string_reverse
128,instruction,integer_gte
122,instruction,exec_yank
120,instruction,boolean_or
120,instruction,exec_rot
119,instruction,exec_shove
117,instruction,integer_dup_items
115,instruction,string_contains
114,instruction,exec_yankdup
113,instruction,integer_shove
107,instruction,integer_yank
107,instruction,integer_swap
103,literal,Check sum is 
101,instruction,string_empty
100,instruction,vector_integer_dup
99,instruction,string_first
98,instruction,boolean_dup_items
96,instruction,string_butlast
93,instruction,char_eq
92,instruction,string_yank
92,instruction,string_fromboolean
91,instruction,integer_yankdup
90,instruction,boolean_flush
89,instruction,integer_rot
85,instruction,char_rot
83,instruction,integer_pop
