frequency,type,instruction
9001,instruction,in1
5370,literal,

1296,instruction,integer_add
1081,instruction,integer_min
1044,instruction,print_integer
1039,instruction,integer_stackdepth
834,instruction,print_string
766,instruction,exec_string_iterate
743,instruction,exec_do*vector_integer
703,instruction,string_length
646,instruction,vector_integer_reverse
635,instruction,boolean_stackdepth
616,instruction,float_frominteger
611,instruction,integer_dup
605,instruction,float_add
569,instruction,exec_do*count
541,instruction,exec_y
537,instruction,exec_stackdepth
535,instruction,print_char
520,instruction,integer_mod
510,literal, 
474,instruction,exec_dup
472,instruction,vector_integer_eq
470,instruction,integer_mult
410,instruction,char_dup
400,instruction,exec_dup_times
392,instruction,print_float
379,instruction,print_newline
378,instruction,integer_fromchar
367,instruction,integer_inc
366,instruction,exec_do*while
352,instruction,integer_dec
340,instruction,string_dup
331,instruction,integer_max
321,literal,0
319,instruction,string_stackdepth
307,instruction,exec_if
290,instruction,vector_integer_pushall
286,instruction,integer_empty
277,instruction,char_stackdepth
251,instruction,exec_s
239,instruction,exec_do*range
239,instruction,integer_lt
237,instruction,exec_when
236,instruction,string_replacechar
232,instruction,integer_sub
232,instruction,vector_integer_nth
232,instruction,boolean_frominteger
231,instruction,string_shove
227,instruction,boolean_empty
227,instruction,exec_do*times
216,instruction,float_div
214,instruction,exec_swap
210,instruction,string_containschar
203,instruction,exec_while
200,instruction,char_empty
196,instruction,integer_div
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
196,instruction,string_split
194,instruction,exec_eq
188,instruction,exec_empty
188,instruction,string_parse_to_chars
187,instruction,string_occurrencesofchar
183,instruction,string_dup_times
177,instruction,integer_dup_times
177,instruction,char_allfromstring
170,instruction,string_concat
170,instruction,string_removechar
169,instruction,integer_lte
167,instruction,string_fromchar
167,literal,!
165,instruction,char_isletter
158,instruction,integer_fromboolean
158,instruction,boolean_not
158,instruction,exec_do*vector_string
158,instruction,vector_integer_set
157,instruction,string_replacefirstchar
156,instruction,string_yankdup
155,literal,The number of syllables is 
152,instruction,float_stackdepth
152,instruction,boolean_and
149,instruction,boolean_dup_times
149,literal,aeiouy
145,instruction,integer_gte
144,instruction,char_frominteger
143,instruction,exec_do*vector_float
142,instruction,char_iswhitespace
140,literal,2
139,instruction,string_emptystring
136,instruction,string_reverse
136,instruction,vector_integer_stackdepth
135,literal,64
131,instruction,string_conjchar
131,instruction,char_dup_times
130,instruction,exec_flush
129,instruction,vector_string_reverse
127,instruction,integer_swap
126,instruction,integer_gt
125,instruction,boolean_or
125,instruction,exec_yank
125,instruction,string_contains
121,instruction,exec_rot
117,instruction,integer_shove
116,instruction,char_dup_items
110,instruction,exec_yankdup
108,instruction,integer_yank
106,instruction,integer_dup_items
106,instruction,string_empty
104,instruction,boolean_dup_items
103,literal,Check sum is 
102,instruction,exec_shove
102,instruction,string_frominteger
100,instruction,vector_integer_dup
93,instruction,string_yank
90,instruction,char_eq
90,instruction,integer_pop
88,instruction,integer_rot
88,instruction,string_fromboolean
87,instruction,integer_yankdup
86,instruction,boolean_flush
84,instruction,string_first
84,instruction,exec_dup_items
81,instruction,string_eq
81,instruction,vector_float_length
80,literal,C
80,literal,F
80,literal,B
80,literal, grade.
80,literal,A
80,literal,D
80,literal,Student has a 
76,instruction,vector_float_pushall
75,instruction,integer_flush
74,instruction,string_take
74,instruction,string_pop
74,instruction,exec_pop
71,literal,[]
71,literal,small
70,instruction,vector_integer_length
69,instruction,vector_integer_conj
68,instruction,vector_integer_replace
65,instruction,vector_integer_replacefirst
65,literal,large
64,instruction,string_butlast
