frequency,type,instruction
9120,instruction,in1
5000,literal,!
1297,instruction,integer_add
1082,instruction,integer_min
1062,instruction,integer_stackdepth
1048,instruction,print_integer
826,instruction,print_string
766,instruction,exec_string_iterate
743,instruction,exec_do*vector_integer
697,instruction,string_length
646,instruction,vector_integer_reverse
627,instruction,boolean_stackdepth
616,instruction,float_frominteger
607,instruction,integer_dup
605,instruction,float_add
590,instruction,exec_do*count
555,instruction,exec_y
543,instruction,print_char
521,instruction,integer_mod
520,instruction,exec_stackdepth
510,literal, 
489,instruction,exec_dup
474,instruction,integer_mult
472,instruction,vector_integer_eq
456,instruction,print_newline
446,instruction,exec_dup_times
400,literal,

392,instruction,print_float
378,instruction,integer_fromchar
375,instruction,integer_inc
360,instruction,integer_dec
357,instruction,string_dup
327,instruction,integer_max
321,literal,0
320,instruction,string_stackdepth
314,instruction,char_stackdepth
306,instruction,exec_if
297,instruction,exec_do*while
290,instruction,vector_integer_pushall
285,instruction,integer_empty
252,instruction,exec_s
250,instruction,integer_lt
243,instruction,boolean_empty
241,instruction,exec_do*range
234,instruction,string_shove
232,instruction,vector_integer_nth
229,instruction,string_replacechar
228,instruction,integer_sub
228,instruction,exec_do*times
224,instruction,boolean_frominteger
216,instruction,float_div
211,instruction,exec_swap
209,instruction,exec_when
208,instruction,char_empty
206,instruction,string_parse_to_chars
204,instruction,exec_empty
202,instruction,char_dup
200,instruction,string_frominteger
198,instruction,integer_div
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
196,instruction,string_containschar
195,instruction,exec_while
194,instruction,string_split
192,instruction,char_allfromstring
189,instruction,exec_eq
183,instruction,integer_dup_times
179,instruction,string_dup_times
177,instruction,string_reverse
177,instruction,string_occurrencesofchar
171,instruction,integer_lte
171,instruction,string_concat
168,instruction,string_removechar
166,instruction,boolean_dup_times
158,instruction,exec_do*vector_string
158,instruction,vector_integer_set
155,instruction,string_replacefirstchar
155,literal,The number of syllables is 
152,instruction,float_stackdepth
151,instruction,integer_fromboolean
151,instruction,boolean_not
150,instruction,string_yankdup
149,literal,aeiouy
148,instruction,integer_gte
148,instruction,boolean_and
144,instruction,char_frominteger
143,literal,2
143,instruction,exec_do*vector_float
140,instruction,char_iswhitespace
136,instruction,vector_integer_stackdepth
135,instruction,string_emptystring
135,literal,64
133,instruction,string_fromchar
