frequency,type,instruction
9056,instruction,in1
1294,instruction,integer_add
1082,instruction,integer_min
1058,instruction,integer_stackdepth
882,instruction,print_string
871,instruction,exec_string_iterate
868,instruction,print_integer
743,instruction,exec_do*vector_integer
713,instruction,print_char
646,instruction,vector_integer_reverse
632,instruction,boolean_stackdepth
616,instruction,float_frominteger
605,instruction,float_add
595,instruction,integer_dup
592,instruction,exec_do*count
532,instruction,string_length
529,instruction,exec_y
523,instruction,integer_mod
510,literal, 
495,instruction,exec_dup
486,instruction,exec_stackdepth
472,instruction,vector_integer_eq
469,instruction,integer_mult
410,instruction,char_dup
408,instruction,exec_dup_times
400,literal,

392,instruction,print_float
386,instruction,integer_fromchar
383,instruction,string_dup
377,instruction,integer_inc
375,instruction,exec_do*while
353,instruction,integer_dec
333,instruction,char_stackdepth
331,instruction,integer_max
321,literal,0
305,instruction,string_stackdepth
300,instruction,print_newline
291,instruction,exec_if
290,instruction,vector_integer_pushall
278,instruction,integer_empty
267,instruction,exec_s
249,instruction,integer_lt
239,instruction,exec_do*range
238,instruction,boolean_empty
236,instruction,string_replacechar
235,instruction,exec_when
232,instruction,vector_integer_nth
231,instruction,exec_do*times
230,instruction,integer_sub
224,instruction,string_shove
221,instruction,boolean_frominteger
217,instruction,char_empty
216,instruction,float_div
210,instruction,string_containschar
207,instruction,string_parse_to_chars
203,instruction,exec_swap
202,instruction,exec_while
197,instruction,integer_div
196,instruction,exec_empty
196,instruction,char_allfromstring
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
196,instruction,string_frominteger
194,instruction,string_occurrencesofchar
194,instruction,string_split
192,instruction,string_fromchar
185,instruction,integer_dup_times
183,instruction,exec_eq
180,instruction,string_dup_times
179,instruction,string_reverse
175,instruction,string_concat
172,instruction,integer_lte
170,instruction,string_removechar
169,instruction,char_isletter
167,literal,!
163,instruction,boolean_dup_times
163,instruction,string_replacefirstchar
159,instruction,integer_fromboolean
158,instruction,vector_integer_set
158,instruction,string_yankdup
155,instruction,boolean_not
155,literal,The number of syllables is 
152,instruction,float_stackdepth
149,literal,aeiouy
148,instruction,integer_gte
146,instruction,boolean_and
144,instruction,char_frominteger
143,literal,2
143,instruction,exec_do*vector_float
142,instruction,char_iswhitespace
136,instruction,vector_integer_stackdepth
135,literal,64
134,instruction,string_conjchar
134,instruction,char_dup_times
131,instruction,string_emptystring
130,instruction,char_dup_items
127,instruction,exec_rot
126,instruction,integer_swap
123,instruction,integer_gt
123,instruction,string_contains
122,instruction,exec_yank
121,instruction,boolean_or
116,instruction,exec_shove
116,instruction,integer_dup_items
114,instruction,string_butlast
113,instruction,integer_shove
113,instruction,integer_yank
107,instruction,exec_flush
103,literal,Check sum is 
100,instruction,vector_integer_dup
100,instruction,boolean_dup_items
99,instruction,string_first
97,instruction,exec_yankdup
94,instruction,integer_pop
93,instruction,char_eq
90,instruction,boolean_flush
89,instruction,string_yank
88,instruction,integer_yankdup
85,instruction,exec_dup_items
85,instruction,char_rot
84,instruction,integer_rot
83,instruction,string_fromboolean
81,instruction,string_rest
81,instruction,vector_float_length
80,instruction,string_take
80,literal,C
80,literal,F
80,literal,B
80,literal, grade.
80,literal,A
80,literal,D
80,literal,Student has a 
79,instruction,string_eq
77,instruction,string_empty
76,instruction,vector_float_pushall
75,instruction,string_pop
75,instruction,integer_flush
71,literal,[]
71,literal,small
70,instruction,vector_integer_length
69,instruction,vector_integer_conj
68,instruction,vector_integer_replace
66,instruction,exec_pop
65,instruction,string_indexofchar
65,instruction,vector_integer_replacefirst
65,literal,large
61,instruction,char_yankdup
59,instruction,boolean_invert_first_then_and
58,instruction,string_substring
58,instruction,boolean_yankdup
57,instruction,vector_integer_swap
57,instruction,string_last
55,instruction,vector_integer_rest
54,instruction,boolean_dup
51,instruction,char_isdigit
51,instruction,char_swap
49,instruction,string_dup_items
48,instruction,boolean_eq
47,instruction,exec_y_when_autoconstructing
47,instruction,boolean_invert_second_then_and
45,instruction,vector_integer_dup_times
43,instruction,boolean_swap
42,instruction,integer_eq
42,instruction,vector_integer_empty
40,instruction,string_replacefirst
39,literal,1
38,literal,e
38,instruction,boolean_shove
37,instruction,vector_integer_indexof
37,instruction,string_swap
37,literal,y
37,instruction,exec_noop
36,instruction,string_rot
35,instruction,string_flush
34,instruction,boolean_xor
34,literal,	
34,instruction,char_shove
34,literal,-477
33,literal,a
33,literal,&
33,literal,J
33,literal,-
33,literal,M
33,literal,Z
32,instruction,vector_integer_yankdup
32,instruction,vector_integer_dup_items
32,instruction,vector_integer_concat
31,instruction,vector_integer_shove
30,instruction,boolean_yank
30,instruction,boolean_rot
29,instruction,exec_s_when_autoconstructing
29,instruction,integer_fromstring
29,instruction,exec_k_when_autoconstructing
29,instruction,vector_float_stackdepth
28,instruction,char_pop
27,instruction,boolean_pop
27,literal,o
26,instruction,tagged_879
26,instruction,tagged_968
26,instruction,tag_integer_696
26,instruction,tagged_358
26,instruction,tagged_694
26,instruction,tagged_437
26,instruction,tag_integer_847
26,instruction,tagged_148
26,instruction,tag_integer_663
26,instruction,tag_integer_129
26,instruction,string_replace
26,instruction,tagged_869
22,instruction,vector_integer_occurrencesof
22,instruction,char_yank
22,instruction,vector_integer_last
21,instruction,vector_integer_rot
21,instruction,char_flush
20,literal,u
20,instruction,float_swap
19,instruction,float_dup
19,instruction,vector_float_dup
16,instruction,vector_integer_butlast
16,literal,i
14,instruction,string_nth
14,literal,false
14,literal,5
11,instruction,print_boolean
11,instruction,float_yank
10,instruction,tag_exec_39
10,instruction,tagged_883
10,instruction,vector_float_dup_items
10,instruction,vector_integer_flush
10,instruction,vector_integer_remove
9,instruction,exec_k
9,instruction,float_yankdup
9,instruction,float_dup_items
9,instruction,vector_float_swap
8,instruction,tag_integer_375
8,instruction,vector_float_replace
8,literal,-926
8,instruction,float_sub
8,instruction,float_min
8,instruction,float_inc
7,literal,961
7,literal,478
7,instruction,vector_integer_subvec
7,instruction,tagged_223
7,literal,-851
7,instruction,vector_integer_pop
6,literal,`
6,instruction,vector_float_butlast
6,instruction,string_setchar
6,instruction,float_shove
6,instruction,float_pop
6,instruction,vector_float_yank
6,instruction,print_exec
6,instruction,vector_integer_first
5,literal,@
5,literal,-76
5,instruction,vector_integer_yank
5,instruction,vector_float_reverse
5,literal,*
5,instruction,tagged_611
5,literal,true
5,instruction,tagged_771
5,instruction,tagged_230
5,literal,-96
5,instruction,tag_integer_647
5,instruction,float_mult
5,instruction,tag_char_682
5,instruction,float_dup_times
5,instruction,tag_char_603
5,instruction,tagged_422
4,instruction,tag_boolean_10
4,instruction,vector_integer_emptyvector
4,instruction,vector_float_indexof
4,instruction,vector_float_rest
4,instruction,vector_float_subvec
4,instruction,tag_char_205
4,instruction,vector_float_replacefirst
4,literal,3
4,literal,10
4,instruction,float_flush
4,literal,42
3,literal,-2018
3,instruction,vector_float_yankdup
3,instruction,vector_float_last
3,literal,-2010
3,literal,-55
3,literal,58
3,literal,-1991
3,instruction,tagged_583
3,literal,1981
3,instruction,tagged_434
3,literal,5985
3,instruction,vector_float_remove
3,instruction,tagged_693
3,instruction,tag_boolean_565
3,literal,-2020
3,literal,40
3,instruction,tagged_939
3,instruction,vector_integer_contains
3,literal,9899
3,literal,-1974
3,instruction,tag_exec_887
3,instruction,tagged_352
3,instruction,tagged_898
3,literal,5996
3,instruction,tag_exec_204
3,literal,5142
3,literal,43
3,literal,-3970
3,instruction,tagged_16
3,literal,1162
3,instruction,tagged_213
3,literal,76
3,instruction,tag_char_115
3,literal,19
3,literal,200
3,literal,-8669
3,literal,26
3,literal,x*edu-aq60_i
3,instruction,vector_float_flush
3,literal,3489
3,literal,-4029
3,literal,-1564
3,instruction,tag_exec_695
3,literal,960
3,literal,49
2,instruction,tag_integer_430
2,instruction,tagged_804
2,literal,c
2,literal,d
2,literal, + ;i{R0\+p 
2,instruction,tag_integer_632
2,literal,$ue3xeh3j|8e^6gf8
2,literal,77
2,literal,92
2,instruction,tag_string_195
2,instruction,float_mod
2,literal,)
2,instruction,tagged_141
2,literal,YebHh2O 2)K  ]*_  
2,instruction,tag_integer_781
2,literal,L
2,instruction,vector_float_pop
2,literal,s!=ou.?u! z42`1]7o
2,instruction,tag_char_776
2,instruction,float_max
2,instruction,tag_string_474
2,literal,-23
2,instruction,tagged_188
2,instruction,vector_float_conj
2,instruction,tagged_401
2,literal,-198
2,instruction,tagged_135
2,instruction,tag_integer_842
2,literal,.f^oo6|yo0*yw`
2,instruction,tag_float_213
2,literal,q
2,instruction,tagged_668
2,instruction,tag_exec_473
2,instruction,tagged_24
2,instruction,vector_float_nth
2,instruction,tag_char_857
2,instruction,float_dec
2,literal,X  +~+)
2,instruction,vector_float_rot
2,instruction,tagged_381
2,instruction,tagged_369
2,instruction,tag_float_628
2,literal,-3991
2,instruction,tagged_197
2,instruction,tag_float_120
2,instruction,vector_float_concat
2,instruction,float_rot
2,instruction,tag_vector_integer_522
2,literal,}
2,literal, #ce~hk&o$\mie 2eg
2,instruction,tag_exec_45
2,instruction,vector_float_take
2,instruction,tagged_175
2,instruction,tagged_946
2,instruction,tag_exec_998
1,instruction,tagged_545
1,literal, X 
1,instruction,tagged_243
1,instruction,tagged_856
1,instruction,tagged_598
1,instruction,tagged_530
1,instruction,tagged_791
1,instruction,tag_string_680
1,literal,  DbMka'vA  eO fm
1,instruction,tag_char_95
1,instruction,tag_exec_258
1,instruction,tagged_433
1,instruction,tag_string_622
