frequency,type,instruction
8888,instruction,in1
2771,literal,0
2500,literal,1
1084,instruction,integer_min
1048,instruction,print_integer
1007,instruction,integer_add
960,instruction,integer_stackdepth
885,instruction,print_string
871,instruction,exec_string_iterate
743,instruction,exec_do*vector_integer
713,instruction,print_char
703,instruction,string_length
646,instruction,vector_integer_reverse
629,instruction,boolean_stackdepth
616,instruction,float_frominteger
605,instruction,float_add
538,instruction,exec_stackdepth
527,instruction,integer_mod
510,literal, 
489,instruction,exec_dup
472,instruction,vector_integer_eq
464,instruction,exec_do*count
456,instruction,print_newline
431,instruction,integer_dup
421,instruction,exec_y
421,instruction,exec_dup_times
410,instruction,char_dup
400,literal,

392,instruction,print_float
386,instruction,exec_do*while
386,instruction,integer_fromchar
385,instruction,string_dup
360,instruction,integer_dec
339,instruction,exec_if
334,instruction,string_stackdepth
333,instruction,char_stackdepth
331,instruction,integer_max
309,instruction,integer_inc
301,instruction,integer_empty
290,instruction,vector_integer_pushall
262,instruction,exec_when
259,instruction,exec_s
250,instruction,integer_mult
241,instruction,integer_lt
236,instruction,string_replacechar
234,instruction,string_shove
233,instruction,boolean_empty
232,instruction,integer_sub
232,instruction,vector_integer_nth
232,instruction,boolean_frominteger
224,instruction,exec_do*times
217,instruction,exec_while
217,instruction,char_empty
216,instruction,float_div
212,instruction,string_parse_to_chars
210,instruction,exec_empty
210,instruction,string_containschar
207,instruction,exec_swap
202,instruction,string_frominteger
196,instruction,char_allfromstring
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
196,instruction,string_split
194,instruction,string_occurrencesofchar
192,instruction,string_fromchar
187,instruction,exec_eq
183,instruction,string_dup_times
180,instruction,integer_div
179,instruction,string_reverse
177,instruction,string_concat
175,instruction,integer_lte
170,instruction,string_removechar
169,instruction,char_isletter
168,instruction,boolean_dup_times
167,literal,!
163,instruction,string_replacefirstchar
161,instruction,boolean_not
160,instruction,string_yankdup
158,instruction,exec_do*vector_string
158,instruction,vector_integer_set
155,literal,The number of syllables is 
152,instruction,integer_gte
152,instruction,float_stackdepth
152,instruction,boolean_and
149,literal,aeiouy
146,instruction,integer_dup_times
144,instruction,char_frominteger
143,literal,2
143,instruction,exec_do*vector_float
142,instruction,char_iswhitespace
142,instruction,integer_fromboolean
139,instruction,string_emptystring
136,instruction,vector_integer_stackdepth
135,literal,64
135,instruction,exec_yank
134,instruction,string_conjchar
134,instruction,char_dup_times
130,instruction,char_dup_items
130,instruction,integer_gt
130,instruction,integer_swap
130,instruction,exec_flush
129,instruction,exec_rot
129,instruction,vector_string_reverse
125,instruction,exec_yankdup
125,instruction,boolean_or
125,instruction,string_contains
123,instruction,exec_shove
118,instruction,exec_do*range
117,instruction,integer_shove
116,instruction,string_butlast
114,instruction,string_empty
107,instruction,integer_yank
107,instruction,integer_dup_items
104,instruction,boolean_dup_items
103,literal,Check sum is 
100,instruction,vector_integer_dup
100,instruction,string_yank
99,instruction,string_first
94,instruction,integer_yankdup
93,instruction,char_eq
92,instruction,string_fromboolean
90,instruction,boolean_flush
85,instruction,char_rot
85,instruction,string_eq
84,instruction,integer_pop
82,instruction,integer_rot
82,instruction,string_rest
81,instruction,vector_float_length
80,instruction,string_take
80,literal,C
80,literal,F
80,literal,B
80,literal, grade.
80,literal,A
80,literal,D
80,literal,Student has a 
77,instruction,exec_dup_items
77,instruction,string_pop
76,instruction,vector_float_pushall
75,instruction,integer_flush
74,instruction,exec_pop
71,literal,[]
71,literal,small
70,instruction,vector_integer_length
69,instruction,vector_integer_conj
68,instruction,vector_integer_replace
65,instruction,string_substring
65,instruction,string_indexofchar
65,instruction,vector_integer_replacefirst
65,literal,large
62,instruction,boolean_invert_first_then_and
61,instruction,char_yankdup
60,instruction,boolean_yankdup
57,instruction,vector_integer_swap
57,instruction,string_last
55,instruction,vector_integer_rest
53,instruction,string_dup_items
51,instruction,char_isdigit
51,instruction,char_swap
51,instruction,boolean_eq
51,instruction,exec_y_when_autoconstructing
51,instruction,boolean_invert_second_then_and
50,instruction,integer_eq
47,instruction,boolean_dup
46,instruction,boolean_shove
45,instruction,boolean_swap
45,instruction,vector_integer_dup_times
44,instruction,string_replacefirst
42,instruction,vector_integer_empty
40,instruction,string_flush
39,instruction,string_swap
39,instruction,string_rot
38,literal,e
37,instruction,boolean_yank
37,instruction,boolean_xor
37,instruction,vector_integer_indexof
37,literal,y
37,instruction,exec_noop
35,instruction,boolean_rot
35,instruction,exec_k_when_autoconstructing
34,literal,	
34,instruction,char_shove
34,literal,-477
33,instruction,boolean_pop
33,literal,a
33,literal,&
33,literal,J
33,literal,-
33,literal,M
33,literal,Z
32,instruction,vector_integer_yankdup
32,instruction,vector_integer_dup_items
32,instruction,vector_integer_concat
31,instruction,vector_integer_shove
31,instruction,exec_s_when_autoconstructing
31,instruction,string_replace
29,instruction,integer_fromstring
29,instruction,vector_float_stackdepth
28,instruction,char_pop
27,literal,o
26,instruction,tagged_879
26,instruction,tagged_968
26,instruction,tag_integer_696
26,instruction,tagged_358
26,instruction,tagged_694
26,instruction,tagged_437
26,instruction,tag_integer_847
26,instruction,tagged_148
