frequency,type,instruction
9084,instruction,in1
1270,instruction,integer_add
1082,instruction,integer_min
1059,instruction,integer_stackdepth
916,instruction,print_integer
745,instruction,print_string
743,instruction,exec_do*vector_integer
739,instruction,exec_string_iterate
713,instruction,print_char
694,instruction,string_length
646,instruction,vector_integer_reverse
625,literal,a
625,literal,e
625,literal,i
625,literal,o
625,literal,u
625,literal,The number of syllables is 
625,literal,y
625,literal,aeiouy
616,instruction,float_frominteger
615,instruction,integer_dup
605,instruction,float_add
582,instruction,exec_do*count
578,instruction,boolean_stackdepth
557,instruction,exec_y
544,instruction,exec_stackdepth
527,instruction,integer_mod
510,literal, 
472,instruction,vector_integer_eq
472,instruction,integer_mult
471,instruction,exec_dup
456,instruction,print_newline
442,instruction,exec_dup_times
402,instruction,char_dup
400,literal,

392,instruction,print_float
382,instruction,integer_fromchar
379,instruction,string_dup
372,instruction,exec_do*while
369,instruction,integer_inc
354,instruction,integer_dec
329,instruction,integer_max
329,instruction,exec_if
321,literal,0
308,instruction,string_stackdepth
301,instruction,char_stackdepth
292,instruction,integer_empty
290,instruction,vector_integer_pushall
254,instruction,exec_when
248,instruction,boolean_empty
248,instruction,exec_s
242,instruction,integer_lt
239,instruction,exec_do*range
234,instruction,string_shove
232,instruction,vector_integer_nth
230,instruction,integer_sub
227,instruction,exec_do*times
226,instruction,boolean_frominteger
217,instruction,exec_swap
216,instruction,float_div
214,instruction,exec_while
210,instruction,string_parse_to_chars
200,instruction,char_empty
198,instruction,exec_empty
198,instruction,integer_div
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
195,instruction,string_replacechar
194,instruction,string_split
192,instruction,string_frominteger
188,instruction,exec_eq
186,instruction,string_fromchar
185,instruction,char_allfromstring
181,instruction,string_containschar
