frequency,type,instruction
4479,instruction,in1
4479,instruction,in2
2900,literal, 
2802,literal,

1290,instruction,integer_add
1074,instruction,integer_min
1059,instruction,integer_stackdepth
1043,instruction,print_integer
868,instruction,exec_string_iterate
754,instruction,print_string
743,instruction,exec_do*vector_integer
697,instruction,string_length
682,instruction,print_char
646,instruction,vector_integer_reverse
643,instruction,boolean_stackdepth
616,instruction,float_frominteger
605,instruction,float_add
604,instruction,integer_dup
564,instruction,exec_do*count
528,instruction,exec_stackdepth
517,instruction,integer_mod
493,instruction,exec_dup
479,instruction,exec_y
472,instruction,vector_integer_eq
469,instruction,integer_mult
449,instruction,print_newline
411,instruction,exec_dup_times
400,instruction,char_dup
392,instruction,print_float
375,instruction,string_dup
372,instruction,integer_fromchar
371,instruction,integer_inc
362,instruction,exec_do*while
338,instruction,integer_dec
329,instruction,exec_if
327,instruction,integer_max
321,literal,0
316,instruction,char_stackdepth
292,instruction,integer_empty
290,instruction,vector_integer_pushall
281,instruction,string_stackdepth
266,instruction,exec_s
253,instruction,exec_when
248,instruction,boolean_empty
246,instruction,integer_lt
238,instruction,exec_do*range
232,instruction,vector_integer_nth
230,instruction,string_shove
228,instruction,integer_sub
228,instruction,string_replacechar
227,instruction,boolean_frominteger
216,instruction,float_div
214,instruction,char_empty
213,instruction,exec_while
212,instruction,exec_swap
209,instruction,string_containschar
209,instruction,string_parse_to_chars
205,instruction,exec_do*times
203,instruction,exec_empty
199,instruction,integer_div
199,instruction,string_frominteger
196,literal,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0]
194,instruction,exec_eq
194,instruction,char_allfromstring
192,instruction,string_occurrencesofchar
186,instruction,string_fromchar
182,instruction,string_dup_times
176,instruction,integer_dup_times
173,instruction,string_concat
171,instruction,integer_lte
167,literal,!
160,instruction,boolean_dup_times
160,instruction,char_isletter
160,instruction,boolean_not
160,instruction,string_yankdup
159,instruction,integer_fromboolean
159,instruction,string_removechar
158,instruction,string_replacefirstchar
158,instruction,exec_do*vector_string
158,instruction,vector_integer_set
155,literal,The number of syllables is 
152,instruction,float_stackdepth
149,instruction,integer_gte
149,literal,aeiouy
147,instruction,boolean_and
144,instruction,char_frominteger
143,literal,2
143,instruction,exec_do*vector_float
138,instruction,string_emptystring
136,instruction,vector_integer_stackdepth
135,literal,64
129,instruction,vector_string_reverse
127,instruction,exec_rot
126,instruction,integer_swap
126,instruction,exec_yank
125,instruction,char_iswhitespace
125,instruction,integer_gt
125,instruction,exec_flush
124,instruction,boolean_or
122,instruction,string_contains
