frequency,type,instruction
1,instruction,print_newline
1,instruction,integer_sub
1,instruction,integer_inc
1,instruction,integer_yankdup
1,instruction,integer_mult
1,instruction,in1
1,instruction,float_sin
1,instruction,float_frominteger
1,instruction,float_mod
1,instruction,integer_div
1,instruction,integer_fromfloat
1,instruction,integer_mod
1,instruction,integer_rot
1,instruction,float_yankdup
1,instruction,integer_add
1,instruction,integer_shove
1,instruction,integer_max
1,instruction,integer_stackdepth
1,instruction,float_max
1,instruction,float_dup_items
1,instruction,float_stackdepth
1,instruction,integer_dup_times
1,instruction,integer_yank
1,instruction,integer_min
1,instruction,integer_dup_items
1,instruction,print_integer
1,instruction,print_float
1,instruction,integer_flush
1,instruction,float_shove
1,instruction,float_pop
1,instruction,float_sub
1,instruction,float_min
1,instruction,float_mult
1,instruction,float_dec
1,instruction,float_add
1,instruction,in2
1,instruction,float_dup
1,instruction,float_swap
1,instruction,integer_swap
1,instruction,integer_dup
1,instruction,float_tan
1,instruction,integer_pop
1,instruction,float_dup_times
1,instruction,float_inc
1,instruction,integer_dec
1,instruction,float_rot
1,instruction,float_flush
1,instruction,float_cos
1,instruction,float_div
1,instruction,float_yank
