frequency,type,instruction
1,instruction,print_newline
1,instruction,integer_sub
1,instruction,integer_inc
1,instruction,boolean_stackdepth
1,instruction,boolean_pop
1,instruction,exec_yankdup
1,instruction,integer_yankdup
1,instruction,boolean_swap
1,instruction,exec_shove
1,instruction,exec_y
1,instruction,boolean_yank
1,instruction,integer_eq
1,instruction,integer_mult
1,instruction,in1
1,instruction,boolean_or
1,instruction,boolean_empty
1,instruction,exec_do*while
1,instruction,exec_dup_items
1,instruction,boolean_dup_items
1,instruction,exec_empty
1,instruction,exec_rot
1,instruction,exec_dup
1,instruction,boolean_flush
1,instruction,exec_k
1,instruction,boolean_xor
1,instruction,integer_gte
1,instruction,boolean_dup_times
1,instruction,boolean_shove
1,instruction,print_boolean
1,instruction,boolean_rot
1,instruction,integer_div
1,instruction,integer_lte
1,instruction,integer_mod
1,instruction,exec_do*count
1,instruction,integer_rot
1,instruction,integer_add
1,instruction,integer_shove
1,instruction,integer_max
1,instruction,integer_stackdepth
1,instruction,integer_dup_times
1,instruction,boolean_dup
1,instruction,exec_dup_times
1,instruction,exec_eq
1,instruction,integer_yank
1,instruction,exec_while
1,instruction,integer_min
1,instruction,exec_swap
1,instruction,integer_dup_items
1,instruction,exec_do*range
1,instruction,exec_if
1,instruction,boolean_invert_first_then_and
1,instruction,integer_fromboolean
1,instruction,boolean_frominteger
1,instruction,print_integer
1,instruction,boolean_eq
1,instruction,integer_flush
1,instruction,integer_gt
1,instruction,boolean_not
1,instruction,exec_do*times
1,instruction,exec_pop
1,instruction,in2
1,instruction,exec_s
1,instruction,integer_lt
1,instruction,exec_noop
1,instruction,integer_swap
1,instruction,integer_dup
1,instruction,in3
1,instruction,exec_yank
1,instruction,integer_pop
1,instruction,integer_empty
1,instruction,print_exec
1,instruction,integer_dec
1,instruction,exec_stackdepth
1,instruction,boolean_and
1,instruction,exec_flush
1,instruction,exec_when
1,instruction,boolean_invert_second_then_and
1,instruction,in4
1,instruction,boolean_yankdup
