frequency,type,instruction
1,instruction,integer_sub
1,instruction,integer_inc
1,instruction,exec_yankdup
1,instruction,vector_integer_shove
1,instruction,integer_yankdup
1,instruction,exec_shove
1,instruction,exec_y
1,instruction,integer_mult
1,instruction,in1
1,instruction,vector_integer_dup
1,instruction,exec_do*vector_integer
1,instruction,exec_dup_items
1,instruction,exec_rot
1,instruction,vector_integer_swap
1,instruction,exec_dup
1,instruction,vector_integer_butlast
1,instruction,exec_k
1,instruction,vector_integer_yank
1,instruction,vector_integer_dup_times
1,instruction,vector_integer_stackdepth
1,instruction,vector_integer_take
1,instruction,vector_integer_yankdup
1,instruction,vector_integer_replace
1,instruction,integer_div
1,instruction,vector_integer_rot
1,instruction,integer_mod
1,instruction,exec_do*count
1,instruction,integer_rot
1,literal,[]
1,instruction,integer_add
1,instruction,vector_integer_occurrencesof
1,instruction,integer_shove
1,instruction,integer_max
1,instruction,vector_integer_flush
1,instruction,vector_integer_subvec
1,instruction,vector_integer_conj
1,instruction,integer_stackdepth
1,instruction,vector_integer_replacefirst
1,instruction,integer_dup_times
1,instruction,exec_dup_times
1,instruction,vector_integer_indexof
1,instruction,integer_yank
1,instruction,integer_min
1,instruction,exec_swap
1,instruction,vector_integer_rest
1,instruction,integer_dup_items
1,instruction,vector_integer_nth
1,instruction,exec_do*range
1,instruction,vector_integer_dup_items
1,instruction,vector_integer_remove
1,instruction,vector_integer_last
1,instruction,vector_integer_concat
1,instruction,integer_flush
1,instruction,vector_integer_length
1,instruction,vector_integer_pop
1,instruction,exec_do*times
1,instruction,exec_pop
1,instruction,vector_integer_set
1,instruction,in2
1,instruction,exec_s
1,instruction,vector_integer_reverse
1,instruction,exec_noop
1,instruction,vector_integer_pushall
1,instruction,integer_swap
1,instruction,integer_dup
1,instruction,exec_yank
1,instruction,integer_pop
1,instruction,integer_dec
1,instruction,vector_integer_first
1,instruction,exec_stackdepth
1,instruction,exec_flush
